717 8
365397 6 8191.00
869829 5 6896.00
342983 5 3962.00
682015 2 6678.00
246455 5 2862.00
847331 5 1591.00
621217 6 9864.00
733318 5 3373.00
286400 7 7155.00
778086 5 999.00
960016 2 3070.00
310946 2 2355.00
871406 3 6113.00
286136 1 7075.00
487618 6 2988.00
240398 6 1358.00
781325 0 2288.00
129555 6 1572.00
968104 2 3881.00
522904 2 9195.00
221317 7 1926.00
174478 5 4542.00
177927 7 1515.00
151322 4 2753.00
207803 0 9983.00
325189 7 8207.00
765213 2 4099.00
454779 5 4398.00
706686 2 5432.00
837940 1 9743.00
641721 0 321.00
595376 0 7526.00
901706 4 5357.00
735501 3 6973.00
629162 4 1368.00
290042 0 2423.00
730899 4 3439.00
983443 3 4867.00
531675 3 1462.00
465122 7 2015.00
982355 0 9381.00
989382 0 5898.00
890351 7 1426.00
938440 2 3960.00
741367 1 150.00
470990 6 7309.00
787305 4 8812.00
150445 5 4216.00
929657 1 5773.00
103796 0 7053.00
845907 0 7580.00
802147 2 3509.00
226754 1 9197.00
185556 2 6316.00
610489 2 4150.00
981034 4 2246.00
372303 6 6638.00
216485 1 760.00
165624 5 4990.00
236527 6 7295.00
535371 5 750.00
306845 1 3102.00
692967 6 5490.00
206848 1 4836.00
969741 7 8662.00
873950 7 8862.00
929836 7 2051.00
475335 4 2547.00
171747 5 7234.00
384704 1 4114.00
602468 4 4074.00
132955 7 8196.00
556923 3 286.00
708363 1 1387.00
727505 6 7157.00
382459 5 6981.00
543056 2 657.00
419963 2 5772.00
142172 2 2220.00
199879 7 2996.00
131847 7 3109.00
237057 7 9017.00
148948 1 8784.00
394061 6 1506.00
433752 2 3959.00
364969 2 6787.00
754630 5 4631.00
932377 5 6927.00
414532 3 4370.00
460451 6 7067.00
521075 2 2158.00
392563 1 1767.00
509468 1 531.00
953411 2 2208.00
616253 2 7402.00
481137 7 5010.00
954380 2 4812.00
899838 0 7023.00
363956 6 8793.00
132803 4 3625.00
726730 0 7828.00
280439 4 6027.00
439177 7 8163.00
489497 4 627.00
847158 7 101.00
151337 3 8736.00
140292 5 8705.00
728302 3 937.00
622084 6 3180.00
743706 4 3709.00
421620 4 2669.00
909728 0 6188.00
581551 6 6605.00
400276 1 885.00
529757 7 130.00
835203 2 9632.00
663992 0 4541.00
460074 7 4741.00
997024 3 1535.00
223167 5 8554.00
476976 2 8985.00
725214 0 179.00
807552 0 1665.00
850665 0 4340.00
416855 5 2378.00
699423 3 2556.00
694859 2 8494.00
585547 3 8449.00
766672 5 5258.00
819743 7 9143.00
169079 1 268.00
192452 7 1949.00
536971 2 5549.00
219588 5 919.00
444670 0 7823.00
853203 1 2763.00
126041 0 1490.00
528308 2 3176.00
335538 2 9158.00
139124 0 7046.00
247830 6 7165.00
156468 6 5868.00
309932 5 6991.00
435021 1 8848.00
330948 4 3388.00
982811 0 1950.00
671010 6 8683.00
267714 3 9815.00
945653 7 2476.00
885930 5 124.00
189921 0 1680.00
461416 7 394.00
375690 0 4707.00
507201 7 3690.00
891084 6 4322.00
114651 4 4428.00
112754 4 6571.00
256546 7 7210.00
568026 0 1269.00
520464 3 1772.00
159403 3 5181.00
581496 1 1546.00
984679 2 6257.00
237783 0 6755.00
496124 7 1191.00
448829 0 7425.00
947518 0 7042.00
235211 5 1206.00
602811 5 2491.00
979102 7 8464.00
290801 5 3157.00
952484 1 2919.00
424878 7 8738.00
446456 2 7609.00
342111 6 2889.00
804344 7 9700.00
961967 1 919.00
645094 1 3226.00
213748 7 5208.00
603069 7 2834.00
229311 0 6353.00
183421 0 5998.00
159866 0 608.00
777968 3 7141.00
521938 3 4161.00
230541 5 1783.00
270604 2 9651.00
802069 4 5495.00
477376 4 133.00
879958 1 6049.00
710507 7 7609.00
801581 6 7696.00
264188 5 2011.00
966843 4 2798.00
101463 4 6864.00
675358 5 7455.00
947341 6 2595.00
224310 7 4693.00
984919 0 359.00
443178 6 8147.00
575670 0 7795.00
415595 0 1129.00
924545 1 1236.00
547332 2 2467.00
745248 0 8254.00
485891 4 717.00
322895 0 1072.00
139215 0 9562.00
229808 5 8122.00
955685 5 454.00
733113 4 1683.00
489018 4 8079.00
581978 7 4526.00
478444 0 3668.00
486016 0 7939.00
178153 7 8235.00
718060 7 3555.00
779360 5 1867.00
778509 2 6867.00
352712 7 8296.00
148212 3 5449.00
365072 5 1299.00
459701 2 4254.00
645602 4 3631.00
201957 7 890.00
784853 6 2211.00
959202 3 9399.00
298585 1 7998.00
653440 7 3552.00
446422 1 3993.00
385775 6 7846.00
700832 1 9309.00
451537 5 2691.00
684844 0 2369.00
602252 1 720.00
684249 4 2954.00
481454 2 8951.00
536343 7 1127.00
586628 2 4217.00
129075 4 930.00
108702 1 4175.00
165836 5 4646.00
852336 6 5140.00
716264 6 3909.00
740835 1 6389.00
683688 0 853.00
823675 4 8457.00
785349 1 7263.00
776000 5 4649.00
477085 2 9876.00
696077 1 7732.00
177830 5 8812.00
476988 1 9092.00
661623 7 1802.00
748260 6 7184.00
351475 1 8103.00
103142 0 3057.00
266288 0 9378.00
842152 3 2704.00
784571 2 5446.00
658228 0 6527.00
484541 5 5706.00
996211 6 7635.00
302896 2 1692.00
955671 6 2870.00
817216 3 6702.00
503707 3 4687.00
291644 5 8857.00
494997 7 9969.00
145227 6 5744.00
217803 5 7680.00
103190 7 6236.00
470164 3 5362.00
778337 3 2803.00
393465 1 7566.00
266293 7 2025.00
515731 4 5529.00
902153 2 8798.00
783219 1 9225.00
422993 1 8918.00
989093 0 5243.00
228249 5 7407.00
156471 5 5094.00
643267 3 2879.00
586012 4 5296.00
243014 1 7099.00
958412 7 5721.00
239559 7 7447.00
572896 0 5870.00
642528 2 7920.00
565137 2 6704.00
146488 6 126.00
513296 7 1603.00
909853 6 2481.00
926123 4 464.00
216018 6 9588.00
252975 0 4005.00
441794 2 6099.00
527398 0 205.00
627210 5 4540.00
518883 5 3563.00
805841 4 4928.00
438534 0 1462.00
655555 1 9838.00
401258 0 2610.00
206140 7 1673.00
742653 2 6205.00
704807 6 2057.00
861445 6 6029.00
177392 1 8741.00
401026 0 1172.00
883320 2 9596.00
496611 2 9278.00
599229 0 2750.00
653570 5 8913.00
342643 7 222.00
101917 7 9058.00
963106 4 9811.00
682005 0 8860.00
499307 5 932.00
712652 6 4605.00
689091 5 8138.00
319217 3 1612.00
623514 1 3213.00
587959 1 9563.00
213643 5 1211.00
550892 3 6881.00
841608 6 2738.00
228679 2 5503.00
270830 6 786.00
424736 2 2450.00
323652 5 9045.00
470752 1 2283.00
399651 2 2272.00
376921 1 4197.00
407584 5 6668.00
845486 0 9655.00
240528 7 1234.00
761135 3 8502.00
886059 4 7372.00
252679 7 9757.00
695689 2 1130.00
198568 0 936.00
661451 6 771.00
657868 4 9466.00
898277 5 3637.00
889267 2 1263.00
484895 2 4285.00
704622 7 5993.00
244676 3 2101.00
319546 0 1802.00
258913 3 4533.00
425709 5 2713.00
184590 3 9045.00
194200 7 1341.00
218736 0 5395.00
459990 5 823.00
608443 0 8520.00
606689 3 1700.00
164324 2 8893.00
279632 5 5064.00
806437 0 4593.00
239494 7 6275.00
186247 6 9503.00
361678 4 3900.00
969139 1 7629.00
854163 4 7914.00
429598 4 2931.00
502309 0 5354.00
861333 3 7246.00
368711 7 5889.00
533994 5 4422.00
149707 4 2357.00
560826 2 6659.00
407945 0 4605.00
898370 3 4542.00
109289 6 5038.00
319419 1 1259.00
262184 2 1411.00
165559 1 4415.00
931355 5 2121.00
179000 4 1643.00
730363 6 5495.00
197695 7 4051.00
352250 6 1668.00
809260 4 737.00
678805 2 603.00
127736 2 9012.00
487335 5 8477.00
834589 4 1551.00
948405 1 6752.00
474369 7 6179.00
921766 6 6354.00
970725 3 6631.00
488113 2 1180.00
373964 5 1008.00
896997 1 2951.00
697763 0 5711.00
861292 5 301.00
825000 5 6874.00
616943 2 3500.00
511754 5 1390.00
206929 5 9373.00
294707 0 9978.00
597696 4 4636.00
881358 4 9514.00
406995 2 332.00
681343 2 3592.00
926847 1 7476.00
717217 7 8984.00
945079 7 9229.00
591835 0 349.00
993477 0 5666.00
960669 6 4558.00
666563 1 7898.00
869529 3 4304.00
120118 2 790.00
460280 1 7573.00
618888 7 8961.00
257207 3 9528.00
258466 2 915.00
399021 4 7365.00
987067 5 6651.00
720027 5 9540.00
940066 1 8822.00
776860 3 5199.00
260970 6 6101.00
575375 0 8822.00
509807 4 297.00
385933 7 5231.00
808632 7 2869.00
878725 2 9901.00
374702 6 4508.00
708637 0 7317.00
880139 6 1553.00
218657 1 7375.00
709023 5 7745.00
998180 0 8343.00
479007 7 9002.00
105147 6 6484.00
123315 5 9282.00
940747 1 7463.00
268073 1 8963.00
979647 7 7600.00
