903 8
201591 7 2837.00
493817 6 7933.00
615822 5 1619.00
702268 2 3629.00
539016 4 4809.00
129081 7 5775.00
888856 6 108.00
145502 6 2536.00
107727 2 9241.00
940438 7 9463.00
166671 6 6073.00
146084 6 7944.00
962027 4 8820.00
404053 6 8098.00
576774 3 8716.00
926948 1 501.00
335994 4 1407.00
410197 4 3393.00
401071 3 1050.00
858128 7 5455.00
333784 2 7850.00
385804 6 7983.00
182186 0 8194.00
788584 0 3517.00
334456 0 6278.00
753926 1 9893.00
123729 2 7209.00
229358 1 732.00
727398 0 3819.00
799288 6 6548.00
250548 6 3263.00
460129 0 342.00
526279 7 8923.00
755386 7 6709.00
396764 1 4235.00
570045 6 4657.00
287776 5 3828.00
485732 5 6663.00
340163 0 562.00
597305 3 6733.00
134033 5 2902.00
960652 6 9656.00
283174 7 4049.00
341544 2 1709.00
322048 0 6329.00
768934 5 9457.00
932435 7 747.00
766911 4 3070.00
253751 6 4770.00
870785 0 6669.00
506326 1 1378.00
701050 7 8543.00
515842 0 9529.00
245630 3 4735.00
118120 6 1845.00
438267 4 7016.00
298885 3 6158.00
432538 2 8005.00
784767 4 6002.00
281111 6 1781.00
329860 4 4875.00
767600 1 5274.00
966569 6 2582.00
662449 3 751.00
907751 3 8842.00
980941 5 7200.00
615587 3 123.00
664669 6 8633.00
637232 0 5924.00
958242 2 5486.00
951148 7 4154.00
557091 6 7077.00
952200 5 5002.00
945882 7 2514.00
361242 5 5191.00
544625 0 6964.00
953268 2 5490.00
373714 4 5690.00
783532 7 2963.00
382174 3 1470.00
656278 4 6498.00
445935 7 3828.00
803732 4 2912.00
331065 3 4870.00
719622 1 9002.00
705017 1 4761.00
539343 5 6233.00
266273 1 6424.00
817035 7 4378.00
737521 1 6840.00
645526 7 1953.00
951920 2 6428.00
719860 6 4285.00
221973 3 2251.00
718818 1 7570.00
218450 7 2458.00
962579 2 2617.00
823308 1 1782.00
743139 3 1845.00
513409 7 8404.00
513480 4 6002.00
347682 2 8776.00
380324 7 767.00
184827 3 9691.00
967027 7 5120.00
741223 5 7127.00
742994 6 1376.00
142692 7 2499.00
942027 1 9717.00
492600 6 3564.00
763899 4 4527.00
705750 1 6005.00
452864 1 9258.00
521919 2 420.00
300740 1 2830.00
782730 5 3843.00
605551 2 1502.00
800027 2 5344.00
970274 1 6944.00
473210 1 1388.00
638540 0 5687.00
410759 3 983.00
489731 3 2491.00
570194 3 8028.00
468007 2 6735.00
609243 4 2028.00
600543 1 3015.00
721366 5 3212.00
566278 2 8975.00
339046 0 2539.00
768119 7 351.00
260334 6 9796.00
978685 2 6372.00
861790 5 7582.00
391961 2 6891.00
114852 4 2347.00
465346 2 9921.00
668245 5 9076.00
974680 5 5596.00
246989 5 9496.00
352535 0 2779.00
156274 0 3348.00
339146 0 368.00
170158 2 3790.00
532611 0 8117.00
135220 2 4779.00
596224 2 5962.00
256559 1 7318.00
865727 5 264.00
719319 4 7670.00
802712 0 4273.00
489428 3 9606.00
651938 0 2020.00
662883 5 719.00
896016 7 378.00
269057 5 4067.00
811677 3 2273.00
158291 7 914.00
968723 2 1796.00
254997 7 2257.00
802013 6 634.00
235572 6 5413.00
759255 2 9246.00
520803 0 3799.00
251140 5 2760.00
384465 1 2025.00
638620 3 9188.00
105953 4 3178.00
959882 0 9611.00
937862 3 5356.00
391180 5 7681.00
460067 2 9273.00
657987 6 7074.00
203241 7 9367.00
501726 7 5595.00
942427 3 7288.00
239909 5 2159.00
615580 1 7438.00
587271 0 6056.00
852502 1 4420.00
706448 5 8989.00
398594 6 1249.00
140635 1 5767.00
994810 7 5438.00
661238 6 7167.00
755214 2 8597.00
957551 3 8618.00
815915 7 6986.00
243415 1 4778.00
716759 0 5243.00
527456 6 5638.00
899837 4 140.00
545795 6 8830.00
786742 3 8209.00
525292 6 5350.00
682589 4 7624.00
781750 3 8681.00
342426 1 2698.00
936483 4 8651.00
978928 0 8900.00
258787 4 7373.00
591016 3 1246.00
373629 5 6765.00
946950 2 3428.00
294339 4 6835.00
859021 2 2781.00
796081 2 1120.00
121472 1 1942.00
267744 0 8080.00
941834 0 473.00
390367 7 5489.00
162249 2 6744.00
253504 6 9337.00
168858 7 1039.00
951488 2 9357.00
838567 5 9376.00
277228 2 8158.00
919304 5 2689.00
238414 6 220.00
867553 4 2582.00
168540 4 8322.00
255862 0 9623.00
203890 4 3433.00
171278 0 4107.00
873833 4 7928.00
145753 7 1730.00
280671 2 6081.00
975270 1 7712.00
938659 2 4261.00
493339 1 2154.00
597567 4 4801.00
312983 1 7897.00
579572 7 6530.00
695769 1 6571.00
463004 4 6093.00
885409 3 7597.00
196727 6 8087.00
356468 2 8439.00
166786 7 2417.00
562147 2 4863.00
605181 2 196.00
331027 6 1680.00
271224 6 5162.00
656439 4 9375.00
129147 2 2528.00
982193 2 6817.00
360100 1 8196.00
853968 3 755.00
567695 6 459.00
590061 0 7316.00
119066 1 3638.00
573209 7 564.00
465070 1 7752.00
810703 3 1045.00
451841 5 9111.00
811035 4 9234.00
811116 5 9137.00
651387 7 1042.00
974906 3 5400.00
199941 6 2973.00
508831 1 216.00
343659 4 8924.00
351258 0 4848.00
391917 7 4123.00
217958 5 6713.00
136875 4 9076.00
192524 5 1281.00
943656 0 3542.00
673097 1 9827.00
472042 1 8219.00
682354 4 2108.00
272500 7 8230.00
385301 0 1376.00
288166 0 7380.00
675876 3 6245.00
485094 2 5435.00
110563 1 6698.00
267106 1 9186.00
473810 6 1515.00
600153 5 365.00
732962 5 3452.00
348202 5 9045.00
858231 7 852.00
117956 1 1183.00
874408 2 2623.00
349161 0 7041.00
906181 5 8349.00
454377 1 3781.00
648661 6 8119.00
103535 7 9198.00
417065 4 3735.00
318541 1 396.00
854022 7 3683.00
796279 2 764.00
671218 7 9841.00
456796 6 6543.00
496876 3 7588.00
430326 0 6885.00
588482 3 633.00
496347 1 9407.00
191734 2 1357.00
623700 4 3214.00
108004 7 4374.00
278944 5 1385.00
206623 5 7600.00
305170 4 6818.00
786018 2 9960.00
150393 3 8388.00
314472 0 5548.00
293025 6 4791.00
740775 0 9882.00
312009 0 1249.00
745638 3 7809.00
506607 6 9108.00
679365 7 7610.00
702004 2 7333.00
740814 4 1358.00
968224 7 5200.00
307072 5 4799.00
803344 5 6646.00
458848 3 8171.00
999014 0 5694.00
499377 0 3945.00
228389 5 2288.00
533781 3 8936.00
508340 0 1949.00
254252 7 752.00
800617 7 4003.00
438631 5 5765.00
519580 4 5922.00
638275 5 9156.00
630112 4 5349.00
731609 3 1889.00
538842 6 9396.00
334314 6 9318.00
649142 7 552.00
383529 1 217.00
297673 4 8817.00
654717 4 1463.00
705471 3 5616.00
607630 3 7808.00
132888 3 9962.00
669349 6 8466.00
606238 0 131.00
701176 4 8033.00
150628 4 9538.00
440271 3 8154.00
688656 5 4636.00
814365 1 7046.00
753169 1 7054.00
240153 5 2020.00
199188 6 3423.00
668705 2 650.00
227873 5 1719.00
756882 1 1427.00
540172 6 1952.00
956881 5 318.00
266185 1 9318.00
666197 5 3199.00
877231 5 5179.00
354335 5 9684.00
227618 5 4814.00
780921 5 9336.00
379322 4 9917.00
390438 0 8323.00
286567 4 413.00
641017 7 3440.00
537271 7 8599.00
544296 3 6480.00
731733 2 3003.00
498847 2 2110.00
952776 3 8601.00
785798 7 6032.00
557812 7 5402.00
744232 3 7858.00
839821 6 8800.00
477544 7 2278.00
256758 7 4234.00
874640 3 4074.00
135244 2 893.00
611351 3 925.00
