500 9
100638 2 7525.00
598093 1 1833.00
157391 0 1767.00
987695 4 4629.00
592653 0 2186.00
366448 4 655.00
246566 5 8023.00
875659 8 6108.00
418883 6 6551.00
323591 4 8884.00
162052 1 970.00
538413 0 9689.00
452347 3 4627.00
797366 5 6806.00
710333 7 3874.00
943365 6 8731.00
697986 1 8177.00
925091 1 3461.00
706583 8 1514.00
779012 3 9971.00
777339 7 392.00
996501 1 6464.00
625905 2 3948.00
975015 4 1439.00
217709 4 1689.00
486311 0 5668.00
239309 1 9171.00
560097 2 6153.00
970359 0 546.00
982059 3 6195.00
965036 8 7685.00
596460 2 6837.00
344721 8 798.00
171681 5 8689.00
677654 5 679.00
668305 5 5395.00
647508 4 6363.00
492118 1 6170.00
964132 8 8288.00
827242 3 7430.00
568033 5 160.00
551782 3 1476.00
774148 3 1620.00
869966 6 7734.00
263668 0 9964.00
620906 0 7793.00
193183 4 3402.00
438514 0 5009.00
170107 7 7703.00
832542 3 1449.00
481319 4 6718.00
578720 1 3938.00
980291 0 9448.00
596083 8 5882.00
944134 3 829.00
340037 1 6868.00
687705 3 369.00
703976 0 6080.00
964164 8 123.00
591189 7 6758.00
242189 2 3130.00
374288 8 9457.00
122040 2 6487.00
417444 4 5286.00
630988 3 3184.00
916262 4 9118.00
414691 6 692.00
569724 7 2008.00
633652 6 8553.00
971076 3 4559.00
380211 0 2672.00
455785 5 2757.00
822650 1 9484.00
611275 7 9050.00
946100 3 3996.00
314074 6 1560.00
860392 4 9302.00
517941 0 6477.00
864814 8 232.00
299581 1 3259.00
513089 8 5337.00
406487 2 5458.00
739272 5 798.00
758333 0 8576.00
928349 4 774.00
277516 4 4508.00
136100 6 7131.00
308781 8 3922.00
916692 1 5770.00
486872 2 5281.00
967693 8 6623.00
254166 7 7461.00
111244 3 910.00
927820 1 4839.00
776644 7 2777.00
699906 0 1270.00
670071 0 5284.00
690918 5 284.00
882752 4 7775.00
831913 1 9209.00
716158 2 657.00
120012 8 9598.00
265445 0 8626.00
283203 3 832.00
781027 3 7118.00
781451 2 1599.00
550917 4 9201.00
632660 8 393.00
235499 5 9736.00
749676 8 3456.00
332999 5 8709.00
898348 7 7582.00
874520 7 1672.00
208883 1 9755.00
793413 4 5134.00
109930 3 2596.00
349147 8 5693.00
819679 5 6509.00
442344 5 2846.00
128070 0 8005.00
559023 0 7909.00
577293 2 6540.00
242751 3 4891.00
205503 6 7827.00
838840 2 4870.00
458523 6 1535.00
666154 1 8299.00
366840 5 9018.00
572152 4 1923.00
763469 4 9387.00
870517 8 2578.00
237625 3 7281.00
291560 3 9229.00
881059 1 9808.00
649216 1 3329.00
917208 4 1568.00
750249 8 7607.00
102876 5 2276.00
739136 8 2748.00
645236 1 9070.00
544080 6 3337.00
909382 2 7612.00
143038 6 5811.00
667863 1 8661.00
600876 5 7846.00
182939 5 2810.00
545589 3 506.00
797494 7 8290.00
571537 2 509.00
413368 6 1734.00
638751 2 8600.00
777282 4 9622.00
541268 1 8903.00
334769 2 2521.00
150895 0 6229.00
279625 5 7755.00
524938 4 5493.00
582161 2 2516.00
643780 6 7375.00
318865 1 1409.00
589884 1 5898.00
306005 7 5992.00
467295 4 3239.00
327363 8 3895.00
927331 5 6567.00
858244 3 1894.00
213975 5 3921.00
106046 7 8891.00
137726 7 2481.00
488886 4 7374.00
731616 1 8159.00
109733 5 6502.00
576166 3 9360.00
139531 1 6098.00
765301 0 9266.00
811370 2 6694.00
551033 0 595.00
343782 4 7917.00
488491 6 9875.00
327186 0 1717.00
972726 8 8313.00
968526 2 7926.00
171046 1 2535.00
904855 8 5317.00
198457 2 8264.00
337513 2 9627.00
738638 4 8444.00
279942 5 8177.00
277330 5 8005.00
445151 0 1044.00
194087 6 474.00
947936 4 8669.00
676927 2 3084.00
747062 2 7215.00
407556 0 4785.00
287905 7 3562.00
807119 5 8745.00
260836 7 7241.00
124475 6 799.00
544907 8 2994.00
465124 3 370.00
573014 5 5345.00
692368 1 4445.00
880041 3 6966.00
547044 2 1146.00
833737 6 3773.00
979261 3 1023.00
159224 6 4968.00
363140 1 6468.00
783391 2 2192.00
494364 3 8659.00
907040 8 9447.00
101691 7 4821.00
194394 1 6006.00
473433 7 4259.00
307129 5 5885.00
143961 4 7881.00
212874 8 4765.00
203669 7 4615.00
754215 0 2672.00
565661 2 2088.00
492631 1 6959.00
252210 6 5509.00
450110 8 3589.00
850022 4 8747.00
207023 7 1120.00
730358 3 7163.00
633937 7 3452.00
268233 3 845.00
795133 2 506.00
454709 2 1160.00
355223 0 2196.00
856955 8 3761.00
138380 5 2188.00
956323 3 6649.00
795945 1 9123.00
266469 1 433.00
465436 6 3009.00
376837 5 1664.00
368191 0 3757.00
350689 6 6944.00
397530 0 9656.00
548134 2 7387.00
208540 0 834.00
279384 1 9653.00
263901 3 4233.00
257346 8 4155.00
479885 4 7178.00
372607 5 7140.00
370027 2 9366.00
562667 0 1594.00
527023 5 6452.00
598530 2 9060.00
272823 6 7276.00
449857 4 7887.00
515286 6 1151.00
628872 0 3124.00
