778 15
224483 14 7513.00
188833 7 9361.00
617783 14 4826.00
847247 4 5867.00
936332 3 9194.00
280687 6 4639.00
327758 4 5472.00
917588 13 2085.00
254904 1 4888.00
936308 7 1305.00
740281 12 3939.00
991950 3 5849.00
431668 11 6893.00
447071 7 3207.00
645365 7 9394.00
372193 0 7037.00
147035 3 3961.00
572645 1 9653.00
151292 4 6703.00
517332 11 4068.00
881229 0 3299.00
478867 4 2102.00
607632 13 7479.00
931857 12 1945.00
353632 2 2525.00
882296 14 3698.00
538508 5 4377.00
268238 10 2715.00
747662 9 8484.00
204352 10 5897.00
358779 7 7717.00
895571 3 4606.00
587941 5 1201.00
268062 13 6439.00
311180 7 1869.00
472688 10 7995.00
319793 5 6593.00
832056 8 9876.00
355016 6 905.00
673475 0 5892.00
216318 1 5347.00
654541 11 7321.00
733019 10 2700.00
845379 4 780.00
822707 9 9263.00
620081 4 6774.00
401780 14 8933.00
432259 13 1163.00
593772 2 1337.00
600044 4 1799.00
530823 7 1946.00
767664 4 4016.00
262946 6 2784.00
537468 8 4742.00
562379 2 825.00
429723 7 5066.00
103901 11 3911.00
991954 0 239.00
384559 14 6516.00
109821 11 1363.00
427967 12 4717.00
215906 10 8805.00
710069 14 7988.00
306603 10 8762.00
786207 2 9490.00
705935 8 4783.00
306747 10 3687.00
658224 11 2663.00
799376 7 2127.00
466721 1 2221.00
535815 14 5203.00
811289 11 6494.00
395005 0 762.00
431952 12 2522.00
294218 9 1245.00
344226 7 1003.00
802067 4 1428.00
816479 1 5668.00
954646 1 4744.00
129728 14 6279.00
244207 5 6845.00
404901 10 1961.00
190729 7 5198.00
428806 10 5252.00
362661 12 1163.00
421505 5 8131.00
724174 5 4947.00
638372 14 1733.00
313960 14 9861.00
638204 12 6000.00
877138 6 5958.00
809934 11 7273.00
582057 11 5791.00
470729 5 3536.00
385814 4 6708.00
755018 4 2840.00
980283 4 4977.00
200579 2 7110.00
309016 9 9347.00
928949 7 7952.00
445181 9 4720.00
632325 1 2581.00
281024 6 8318.00
296162 1 3313.00
177648 11 2571.00
329187 11 1811.00
791030 12 8906.00
409145 14 9777.00
242432 11 6859.00
199458 11 6780.00
415232 9 5845.00
470027 14 8888.00
123002 10 5263.00
606028 1 5766.00
695120 12 4827.00
720021 4 6616.00
779486 7 7453.00
904201 5 7237.00
748105 14 4989.00
259427 4 8062.00
464619 1 1271.00
429477 7 8443.00
415687 7 4757.00
961456 10 2656.00
857524 9 8799.00
314953 2 9658.00
217626 10 7052.00
810754 1 5064.00
251802 9 2905.00
228845 0 140.00
107245 6 7197.00
395798 14 5178.00
161261 2 3772.00
624836 2 4265.00
350341 2 2252.00
235146 13 3418.00
537114 4 1718.00
846938 10 1973.00
245425 14 8263.00
507294 6 5247.00
924090 0 1322.00
962815 6 8447.00
346007 1 6567.00
558681 10 3853.00
859993 5 3386.00
618037 11 2528.00
989154 14 8544.00
955550 1 1737.00
708146 10 1437.00
422581 13 5216.00
154369 7 7438.00
123349 3 1020.00
397787 7 3803.00
286659 5 9220.00
509508 1 7590.00
915967 3 8590.00
329611 5 4706.00
285506 12 9491.00
421303 4 1456.00
790603 5 9626.00
773502 13 8611.00
518791 11 8882.00
732598 6 2163.00
296226 1 1067.00
606661 0 8124.00
956122 12 4249.00
654484 7 9042.00
869891 8 3468.00
398540 0 396.00
766738 14 864.00
453953 8 9226.00
504841 1 8360.00
890805 4 3328.00
467081 7 4832.00
285179 9 8558.00
578303 13 9472.00
582694 1 3813.00
824688 5 8244.00
866997 10 8823.00
758719 7 1365.00
260641 9 6347.00
809482 14 6354.00
991787 14 6857.00
223358 0 6429.00
358936 0 8258.00
892851 13 1452.00
542980 0 818.00
385359 13 2716.00
768321 0 6194.00
321389 0 8386.00
958676 8 746.00
180364 14 374.00
413993 3 1499.00
974658 5 4053.00
397549 9 6036.00
225569 11 4653.00
642247 2 4471.00
776038 14 1332.00
694323 4 2396.00
337318 9 2312.00
674462 6 1155.00
540714 1 4195.00
613437 14 6172.00
432198 11 6413.00
810776 11 7783.00
567457 5 6103.00
420450 0 3793.00
712297 3 468.00
256256 1 7598.00
399143 12 8267.00
153773 6 6379.00
371421 8 6944.00
726238 6 9180.00
963734 12 9020.00
752353 4 3276.00
430430 2 424.00
213205 7 8582.00
568976 12 2581.00
208536 11 2484.00
517718 8 2751.00
596205 3 8442.00
794748 13 6551.00
909742 3 752.00
275503 12 349.00
399641 8 968.00
768773 6 1589.00
623919 8 7656.00
816629 0 8970.00
999651 10 5581.00
469410 2 2080.00
374885 3 8284.00
334918 2 1682.00
233595 14 8810.00
668622 13 7587.00
764923 14 2064.00
245428 13 1352.00
927587 10 1742.00
118156 2 5214.00
205138 4 3053.00
615379 2 8027.00
609860 4 1266.00
296968 14 4292.00
264914 7 2860.00
232957 9 4612.00
224640 13 4425.00
507774 13 3809.00
388508 5 1785.00
665771 4 9755.00
615748 13 8328.00
383205 3 2253.00
707197 11 4600.00
500387 5 7503.00
454790 3 8084.00
631997 4 5298.00
211186 2 4696.00
956499 12 5535.00
185507 4 342.00
522167 9 6518.00
586065 13 6949.00
579772 7 9547.00
825184 9 5552.00
382754 6 2234.00
273512 5 4471.00
