203 49
194 18 4
25 50 0
122 0 9
141 43 0
21 23 10
137 32 8
9 20 4
129 49 5
133 12 3
41 45 7
67 21 0
186 25 0
180 23 8
17 29 8
127 3 0
52 30 9
191 4 7
139 12 7
7 1 3
117 24 8
115 25 3
96 41 7
92 1 3
30 10 8
81 2 7
140 47 8
23 34 1
148 43 5
131 18 5
155 33 10
4 38 2
179 46 4
142 43 9
57 23 1
43 40 8
130 33 6
100 10 10
14 1 7
64 14 4
162 13 8
62 11 9
136 30 10
184 0 2
35 27 6
135 32 5
116 31 9
85 22 0
182 40 6
82 14 1
33 16 0
104 10 4
26 46 10
80 26 7
112 18 3
105 2 1
189 6 2
8 27 4
169 14 0
101 7 5
198 7 9
71 2 8
60 18 10
118 50 4
50 21 6
172 27 8
188 48 2
199 38 9
72 11 8
79 29 7
158 32 0
10 8 5
170 2 3
90 43 9
28 12 6
144 32 10
149 19 2
53 12 2
157 3 0
185 40 10
102 23 6
42 18 8
86 2 8
146 26 7
161 21 9
106 12 3
160 11 10
87 35 10
128 16 6
97 25 9
29 17 8
48 35 10
195 38 9
196 29 9
61 49 1
150 20 1
193 3 0
110 50 9
3 48 1
103 20 3
126 11 5
167 15 7
187 16 5
94 45 10
95 38 3
22 8 10
65 25 4
183 23 10
73 43 0
68 10 2
168 42 2
38 50 6
59 23 8
74 48 5
177 28 2
77 50 3
20 32 10
123 26 4
120 15 5
165 39 3
27 12 4
69 1 5
166 8 7
201 19 3
89 48 3
171 46 4
178 7 1
132 44 0
91 47 8
202 34 8
63 4 0
32 15 5
143 27 6
125 47 9
70 35 3
121 26 7
147 48 6
138 22 7
113 26 7
40 48 3
190 17 0
55 25 3
84 15 10
58 50 1
164 36 0
49 11 5
39 48 4
6 36 3
152 30 6
111 1 3
0 15 0
200 19 10
16 13 8
11 11 5
99 32 6
163 15 2
114 5 5
2 41 1
45 36 0
151 5 3
34 44 2
5 31 2
109 25 1
15 36 7
98 5 3
154 1 4
19 25 9
145 35 10
197 0 6
31 27 2
1 14 0
175 15 5
159 39 8
192 36 10
12 48 6
46 35 9
47 6 0
176 8 4
107 45 0
76 19 5
174 33 1
153 5 10
119 4 9
83 2 1
134 31 3
54 24 8
75 26 5
66 31 7
56 36 5
88 9 3
78 45 10
37 36 1
44 30 5
93 20 10
181 13 8
18 23 9
51 39 7
156 14 0
36 43 1
108 48 2
173 21 6
24 42 7
124 5 6
13 19 6
