503 269
172 45 9
434 8 10
302 42 5
147 9 5
462 19 9
46 26 7
292 36 2
0 45 0
402 19 9
433 3 0
213 25 3
484 28 0
392 19 10
76 6 5
375 22 7
4 2 2
51 6 3
97 38 9
352 16 4
278 18 7
437 19 8
332 5 3
22 2 3
74 18 7
87 14 8
468 27 10
273 32 5
294 32 1
160 5 7
8 7 4
130 30 6
271 32 1
393 26 4
244 35 10
187 34 1
132 34 3
326 16 7
296 0 9
368 23 9
34 16 4
238 14 6
101 28 7
336 29 4
360 14 7
329 31 7
494 36 1
233 8 2
369 41 0
224 50 0
57 41 5
293 47 0
480 47 3
353 12 6
192 0 9
200 30 4
256 12 3
333 30 8
242 31 5
230 47 7
495 45 4
63 25 9
84 30 2
366 12 9
325 1 5
23 44 5
481 45 10
436 49 3
344 6 6
185 13 0
279 24 4
451 0 1
219 0 1
328 2 0
365 50 10
214 43 5
198 17 1
222 4 8
243 38 7
118 41 10
108 27 3
189 37 10
106 29 7
206 45 3
166 20 4
347 50 5
380 19 0
399 29 2
7 38 3
134 24 0
429 15 2
53 28 1
161 27 7
426 34 9
388 1 8
498 45 5
455 2 9
478 34 7
473 33 5
71 3 7
232 21 5
467 31 3
223 23 3
195 49 9
447 23 7
208 48 0
408 0 6
179 22 1
138 23 8
350 36 3
141 13 3
403 14 0
205 9 1
246 13 7
343 4 7
500 3 4
444 42 6
277 12 0
397 40 1
146 26 10
346 29 5
337 41 2
306 21 9
78 18 9
283 9 1
156 7 3
196 1 2
419 24 5
145 33 8
383 49 10
109 1 7
263 1 7
209 18 3
2 13 1
412 6 9
425 1 9
117 14 10
29 31 3
334 9 9
438 48 8
14 46 7
493 39 4
370 24 1
152 39 8
88 20 9
104 23 3
288 11 7
184 14 0
215 44 9
226 43 9
492 17 2
39 23 4
228 25 1
212 5 5
477 43 3
127 40 3
267 20 7
154 16 6
170 44 10
169 26 2
394 39 10
120 13 3
320 34 9
168 48 10
149 25 4
297 19 1
432 20 10
442 32 0
255 32 9
69 5 9
384 28 8
349 34 7
472 11 6
501 17 6
247 13 1
135 38 10
197 27 3
285 33 5
86 48 9
312 23 0
112 33 10
207 3 2
110 39 6
10 35 5
457 10 6
128 37 10
210 4 1
469 35 4
103 14 6
241 43 7
391 9 5
123 50 5
9 4 4
66 32 1
258 5 0
5 6 2
167 11 7
231 37 6
24 42 7
261 2 0
270 37 3
122 8 1
79 39 10
476 37 8
439 24 1
220 9 3
487 38 2
464 36 4
367 28 5
361 32 5
463 46 2
100 21 0
180 31 5
454 7 3
217 45 1
428 2 3
295 10 7
17 10 8
452 21 5
396 39 2
31 9 7
345 33 8
319 16 7
382 29 4
486 34 10
304 44 0
52 21 9
150 37 10
163 50 0
58 2 6
272 39 10
203 24 6
83 50 5
98 10 3
73 43 3
309 12 0
85 47 0
490 35 9
102 46 10
107 41 7
499 30 4
216 49 2
423 12 3
458 30 1
211 36 10
16 0 8
376 22 10
253 3 9
249 19 8
371 40 10
483 10 3
470 17 9
446 21 7
378 42 8
237 40 8
502 7 3
305 47 7
374 43 4
262 20 10
15 42 7
77 45 1
362 10 6
62 48 2
342 31 8
257 4 6
410 33 4
381 45 0
407 28 2
331 26 6
358 6 1
239 10 10
137 4 0
21 37 10
191 16 1
140 41 1
12 41 6
61 13 4
236 7 3
449 39 1
287 17 6
91 42 2
474 48 3
373 23 9
59 0 10
35 45 0
129 5 7
151 38 10
260 36 8
90 22 0
182 44 4
307 12 4
330 40 8
114 42 1
414 35 4
50 21 8
175 29 6
491 23 4
125 3 1
265 20 5
355 29 2
482 49 7
19 16 9
387 25 9
340 46 7
89 7 5
37 20 7
354 41 1
485 16 10
159 45 5
274 8 5
356 26 8
379 21 7
351 14 2
113 18 4
409 16 10
315 5 10
240 35 10
188 2 4
6 18 3
415 33 1
324 38 4
430 20 5
25 9 0
422 24 8
143 29 8
453 31 1
177 20 7
395 8 7
459 36 10
27 16 10
456 34 4
199 18 0
465 36 3
30 31 1
496 16 0
448 26 6
321 12 3
264 16 1
181 17 1
420 11 2
43 41 10
80 22 4
418 26 6
26 5 10
248 49 2
32 30 7
38 36 4
47 36 6
310 37 10
286 39 6
385 25 4
72 5 10
36 1 7
318 16 7
93 23 3
56 27 8
165 41 4
314 7 0
68 17 9
269 0 8
42 35 5
308 34 4
11 22 5
405 41 7
298 5 0
142 49 0
417 17 10
218 2 6
28 38 8
276 50 0
221 23 5
341 31 7
335 24 8
489 13 1
290 32 9
48 41 8
372 29 5
176 19 7
299 41 6
139 35 1
55 3 3
471 17 7
82 17 0
60 32 4
193 13 4
157 0 6
64 21 3
311 48 4
144 25 5
162 10 6
357 42 6
234 8 4
460 8 3
133 42 0
49 22 7
190 7 9
67 9 2
275 46 5
70 33 3
194 37 8
33 38 1
155 45 7
158 15 5
121 49 6
227 41 9
280 16 1
174 30 4
148 18 0
119 25 4
204 8 8
153 27 1
348 22 2
251 34 8
131 26 6
479 31 4
282 10 8
45 7 5
259 3 0
252 6 9
201 31 8
450 4 3
364 45 10
94 20 8
401 32 1
65 22 2
398 25 5
3 33 1
411 33 9
254 29 7
461 16 2
178 28 9
105 40 7
406 42 0
404 16 3
431 22 4
164 24 10
124 36 6
92 27 10
377 34 4
427 27 10
41 44 5
1 20 0
300 29 10
301 11 4
313 33 1
443 9 10
266 42 1
171 37 4
441 8 6
183 36 1
445 13 4
322 20 1
111 49 5
338 18 2
250 41 7
284 19 3
281 24 3
126 24 5
339 24 10
229 22 1
327 4 2
173 32 5
424 21 7
75 24 0
225 11 2
389 50 10
435 32 3
