307 545
227 38 8
272 38 7
13 29 6
128 48 1
267 3 6
243 35 3
277 19 6
94 16 7
291 8 6
89 0 5
163 13 5
139 2 0
70 11 1
220 24 4
250 46 9
208 43 6
33 50 9
9 33 4
147 10 6
119 24 8
198 1 3
166 36 2
108 20 10
295 49 0
190 47 6
165 19 5
57 30 3
148 4 10
213 37 1
270 14 4
35 16 3
276 2 7
19 17 9
275 29 4
49 49 9
56 5 7
43 34 7
171 44 10
265 49 1
150 44 9
254 50 2
174 16 6
306 2 1
69 18 10
64 47 1
36 19 8
283 31 8
37 40 9
141 0 2
281 13 9
132 23 1
249 45 10
301 0 1
257 0 2
305 6 3
74 12 1
6 20 3
206 49 7
183 44 5
51 5 6
290 29 5
131 25 4
221 20 7
182 9 3
28 44 3
170 15 1
233 25 9
297 23 3
145 34 3
202 16 8
122 23 9
179 42 4
85 39 1
175 34 3
62 10 2
107 50 10
184 22 10
235 22 8
154 5 10
203 49 3
68 0 5
3 44 1
5 24 2
300 38 1
65 10 1
186 48 3
279 17 10
204 21 6
110 14 2
280 32 4
176 9 2
212 30 3
160 45 5
149 9 2
113 15 6
86 48 3
209 12 9
80 20 7
232 13 9
39 37 8
287 46 3
84 24 10
299 5 3
93 16 0
116 18 6
29 25 5
178 29 6
7 4 3
298 18 8
185 40 9
247 3 2
226 50 3
161 24 5
191 23 1
244 22 1
193 11 10
21 1 10
114 48 0
111 35 9
120 23 7
230 21 2
98 36 1
223 30 6
207 20 5
229 21 5
104 0 9
121 27 0
189 38 4
239 29 3
83 30 6
31 43 10
12 44 6
140 7 10
45 3 1
91 13 3
59 47 3
210 22 1
284 42 8
219 14 7
302 45 4
38 38 2
224 20 1
237 42 5
73 48 10
41 46 3
286 20 4
88 12 7
50 38 3
217 27 1
87 36 2
255 1 9
285 23 9
95 43 2
303 24 0
112 22 3
48 30 0
289 47 4
234 30 6
58 10 6
125 6 4
157 2 2
0 17 0
151 28 10
105 21 5
218 7 0
15 0 7
129 41 2
20 47 10
54 47 2
173 28 4
168 31 8
187 11 5
126 11 9
240 28 4
188 18 4
205 17 8
271 11 1
192 38 8
215 32 7
242 39 0
71 23 8
137 3 8
127 33 8
155 11 3
63 33 1
194 18 4
167 33 6
115 50 4
231 49 9
152 30 5
153 7 5
66 31 0
8 50 4
17 36 8
124 2 4
135 35 10
136 26 0
103 15 3
146 12 9
199 26 10
133 14 5
200 24 3
225 7 8
246 19 10
294 44 9
134 34 3
53 13 2
138 27 7
101 6 0
195 37 7
282 1 10
32 1 7
292 40 2
75 37 0
24 27 7
72 6 2
97 3 5
142 10 6
172 18 1
266 19 7
130 35 8
90 44 1
196 38 1
268 9 6
79 11 3
274 42 7
180 28 8
248 9 6
169 49 6
278 41 0
143 31 7
304 9 5
106 36 5
177 50 9
118 8 8
241 49 6
252 24 3
22 4 5
201 10 6
34 11 8
99 48 5
14 28 7
76 21 5
11 4 5
82 14 4
258 4 3
222 30 2
261 40 4
216 32 2
46 0 10
44 29 0
42 43 0
245 6 2
10 38 5
238 44 10
251 4 2
181 20 0
23 13 9
52 41 1
92 17 6
296 47 9
78 4 0
269 1 0
158 19 5
211 37 7
77 34 9
40 20 6
55 19 10
262 15 1
81 38 0
26 19 0
67 30 2
102 35 1
253 2 6
273 35 6
288 40 3
156 30 5
159 40 4
1 45 0
162 41 10
236 1 1
264 2 0
164 46 7
228 30 5
2 47 1
123 27 3
293 1 4
100 45 10
263 43 7
47 18 0
4 30 2
27 39 4
30 10 0
18 0 9
60 17 7
197 41 2
16 2 8
25 20 0
260 8 7
96 46 10
256 29 5
117 36 9
61 10 9
109 43 4
144 47 10
214 20 8
259 50 10
