5000 INGIND35 100
80052 47 IINF04
80053 68 MAT01
80054 98 INGIND35
80055 59 FIS01
80056 39 AGR03
80057 76 CHIM02
80058 36 INGIND35
80059 74 MED18
80060 98 FIS01
80061 98 FIS01
80062 97 IINF05
80063 22 INF01
80064 87 INF01
80065 25 MED18
80066 1 MAT01
80067 64 INGIND35
80068 64 INF01
80069 49 CHIM02
80070 38 INF01
80071 40 INGIND35
80072 54 INF01
80073 37 CHIM02
80074 96 FIS01
80075 98 INGIND35
80076 54 BIO10
80077 79 MED18
80078 82 IINF04
80079 61 INF01
80080 42 FIS01
80081 56 IINF05
80082 18 MAT01
80083 58 BIO10
80084 62 IINF05
80085 83 AGR03
80086 76 INF01
80087 13 CHIM02
80088 66 AGR03
80089 12 AGR03
80090 73 INF01
80091 3 IINF04
80092 7 IINF05
80093 66 INF01
80094 23 IINF04
80095 93 IINF05
80096 63 FIS01
80097 23 INGIND35
80098 35 INF01
80099 1 IINF05
80100 43 CHIM02
80101 89 MAT01
80102 49 INF01
80103 95 FIS01
80104 100 IINF04
80105 63 AGR03
80106 82 INGIND35
80107 98 BIO10
80108 80 BIO10
80109 5 CHIM02
80110 69 INF01
80111 87 MAT01
80112 89 MED18
80113 82 IINF04
80114 68 MED18
80115 8 IINF05
80116 15 IINF04
80117 16 MAT01
80118 58 FIS01
80119 53 MAT01
80120 23 IINF04
80121 81 IINF04
80122 97 BIO10
80123 65 IINF04
80124 14 BIO10
80125 91 MAT01
80126 63 INF01
80127 38 INGIND35
80128 98 IINF04
80129 34 IINF04
80130 98 MAT01
80131 66 BIO10
80132 68 MAT01
80133 70 AGR03
80134 51 FIS01
80135 96 FIS01
80136 34 FIS01
80137 56 INGIND35
80138 32 CHIM02
80139 100 CHIM02
80140 46 BIO10
80141 34 INGIND35
80142 26 INGIND35
80143 11 IINF04
80144 100 IINF04
80145 21 INGIND35
80146 13 BIO10
80147 77 MAT01
80148 55 IINF05
80149 55 INGIND35
80150 12 FIS01
80151 41 MAT01
80152 23 IINF05
80153 70 IINF04
80154 12 FIS01
80155 62 MAT01
80156 4 CHIM02
80157 18 INGIND35
80158 52 MED18
80159 64 IINF05
80160 37 AGR03
80161 64 INGIND35
80162 30 BIO10
80163 24 CHIM02
80164 13 IINF04
80165 64 INF01
80166 85 AGR03
80167 57 BIO10
80168 90 FIS01
80169 70 FIS01
80170 21 FIS01
80171 23 INGIND35
80172 37 IINF04
80173 63 INGIND35
80174 35 MED18
80175 77 FIS01
80176 60 BIO10
80177 82 MAT01
80178 56 INF01
80179 82 AGR03
80180 36 AGR03
80181 27 CHIM02
80182 34 MED18
80183 76 FIS01
80184 25 MAT01
80185 50 MED18
80186 10 CHIM02
80187 35 AGR03
80188 91 FIS01
80189 66 MED18
80190 37 IINF04
80191 37 AGR03
80192 8 MED18
80193 20 CHIM02
80194 72 AGR03
80195 44 FIS01
80196 38 CHIM02
80197 45 IINF04
80198 98 IINF05
80199 53 BIO10
80200 43 CHIM02
80201 42 IINF05
80202 31 IINF05
80203 30 MAT01
80204 49 CHIM02
80205 67 MAT01
80206 71 MED18
80207 19 IINF04
80208 50 INGIND35
80209 85 IINF04
80210 58 CHIM02
80211 69 IINF04
80212 4 INGIND35
80213 49 MAT01
80214 53 IINF05
80215 79 IINF04
80216 5 INF01
80217 77 MED18
80218 11 MAT01
80219 70 IINF04
80220 63 INGIND35
80221 63 IINF05
80222 77 MAT01
80223 10 IINF05
80224 79 MAT01
80225 95 IINF04
80226 68 MAT01
80227 31 FIS01
80228 82 MED18
80229 54 BIO10
80230 1 MED18
80231 98 BIO10
80232 16 AGR03
80233 93 MAT01
80234 7 MAT01
80235 59 INGIND35
80236 94 INF01
80237 2 BIO10
80238 1 AGR03
80239 36 MED18
80240 65 AGR03
80241 8 MED18
80242 67 BIO10
80243 38 CHIM02
80244 4 MED18
80245 40 FIS01
80246 49 INGIND35
80247 25 INGIND35
80248 99 MAT01
80249 47 INF01
80250 11 INGIND35
80251 27 MAT01
80252 28 IINF05
80253 66 INGIND35
80254 86 AGR03
80255 41 IINF05
80256 24 MED18
80257 61 INGIND35
80258 10 AGR03
80259 8 INGIND35
80260 36 INGIND35
80261 92 CHIM02
80262 83 MED18
80263 12 FIS01
80264 1 AGR03
80265 89 MED18
80266 77 CHIM02
80267 63 BIO10
80268 10 MED18
80269 29 AGR03
80270 75 CHIM02
80271 36 MED18
80272 15 IINF04
80273 56 INF01
80274 84 INF01
80275 3 CHIM02
80276 24 INGIND35
80277 97 INF01
80278 44 IINF05
80279 8 CHIM02
80280 75 FIS01
80281 83 MAT01
80282 2 AGR03
80283 15 INGIND35
80284 14 MED18
80285 27 CHIM02
80286 3 BIO10
80287 18 AGR03
80288 64 INGIND35
80289 56 INGIND35
80290 32 IINF04
80291 50 AGR03
80292 43 CHIM02
80293 11 CHIM02
80294 16 FIS01
80295 57 INGIND35
80296 56 IINF05
80297 95 IINF04
80298 56 INGIND35
80299 33 FIS01
80300 74 IINF05
80301 61 CHIM02
80302 55 INF01
80303 36 IINF05
80304 28 CHIM02
80305 29 CHIM02
80306 60 MAT01
80307 18 IINF05
80308 1 AGR03
80309 44 AGR03
80310 82 IINF05
80311 49 CHIM02
80312 5 BIO10
80313 99 MAT01
80314 86 MAT01
80315 93 CHIM02
80316 96 AGR03
80317 64 IINF04
80318 88 FIS01
80319 82 MAT01
80320 35 MAT01
80321 39 FIS01
80322 78 CHIM02
80323 6 INGIND35
80324 94 FIS01
80325 40 BIO10
80326 83 INF01
80327 42 BIO10
80328 32 INF01
80329 9 CHIM02
80330 69 IINF05
80331 47 FIS01
80332 54 IINF04
80333 53 MAT01
80334 26 IINF05
80335 98 IINF04
80336 81 FIS01
80337 82 MAT01
80338 22 INGIND35
80339 70 IINF04
80340 42 INGIND35
80341 34 INF01
80342 44 CHIM02
80343 74 AGR03
80344 78 INGIND35
80345 34 MAT01
80346 46 INGIND35
80347 15 MED18
80348 54 INF01
80349 19 MED18
80350 47 INGIND35
80351 64 FIS01
80352 67 MED18
80353 5 MED18
80354 15 CHIM02
80355 61 FIS01
80356 26 IINF04
80357 43 INF01
80358 43 BIO10
80359 46 BIO10
80360 39 INGIND35
80361 71 BIO10
80362 89 INGIND35
80363 68 BIO10
80364 96 INGIND35
80365 3 MED18
80366 36 BIO10
80367 59 CHIM02
80368 40 MED18
80369 33 BIO10
80370 50 CHIM02
80371 18 IINF04
80372 59 MED18
80373 57 MAT01
80374 6 MED18
80375 20 INGIND35
80376 3 CHIM02
80377 26 CHIM02
80378 91 INF01
80379 2 INGIND35
80380 90 INF01
80381 59 MAT01
80382 66 CHIM02
80383 11 MAT01
80384 17 INGIND35
80385 18 MED18
80386 22 INGIND35
80387 56 AGR03
80388 64 MED18
80389 78 FIS01
80390 64 IINF04
80391 33 FIS01
80392 46 AGR03
80393 86 CHIM02
80394 22 CHIM02
80395 39 FIS01
80396 62 AGR03
80397 6 FIS01
80398 24 FIS01
80399 71 MAT01
80400 69 INF01
80401 43 IINF05
80402 68 FIS01
80403 8 INGIND35
80404 39 BIO10
80405 18 MED18
80406 85 CHIM02
80407 64 IINF05
80408 60 BIO10
80409 81 MED18
80410 21 BIO10
80411 8 FIS01
80412 33 BIO10
80413 22 IINF05
80414 64 MAT01
80415 15 BIO10
80416 42 IINF05
80417 15 MED18
80418 81 IINF04
80419 61 FIS01
80420 89 MED18
80421 73 INGIND35
80422 44 BIO10
80423 90 FIS01
80424 69 INF01
80425 40 INF01
80426 44 BIO10
80427 60 CHIM02
80428 25 CHIM02
80429 17 IINF05
80430 44 INF01
80431 14 INF01
80432 52 IINF04
80433 83 AGR03
80434 13 FIS01
80435 62 AGR03
80436 87 MED18
80437 57 FIS01
80438 4 IINF05
80439 64 IINF04
80440 49 MAT01
80441 22 CHIM02
80442 83 INF01
80443 58 MAT01
80444 58 IINF04
80445 47 IINF05
80446 95 INGIND35
80447 19 INF01
80448 42 BIO10
80449 56 IINF05
80450 28 MED18
80451 66 INF01
80452 71 INF01
80453 93 MAT01
80454 24 BIO10
80455 85 MAT01
80456 30 MED18
80457 90 MED18
80458 43 IINF04
80459 82 IINF04
80460 66 IINF05
80461 49 MED18
80462 44 FIS01
80463 79 IINF05
80464 81 IINF04
80465 23 BIO10
80466 63 FIS01
80467 71 INGIND35
80468 8 INF01
80469 20 CHIM02
80470 34 INF01
80471 20 BIO10
80472 55 CHIM02
80473 24 BIO10
80474 81 FIS01
80475 7 AGR03
80476 58 IINF04
80477 98 IINF05
80478 20 IINF04
80479 76 IINF04
80480 28 AGR03
80481 42 INGIND35
80482 13 CHIM02
80483 63 BIO10
80484 94 INGIND35
80485 30 AGR03
80486 5 IINF05
80487 69 MAT01
80488 93 MED18
80489 3 MAT01
80490 81 INGIND35
80491 87 MED18
80492 95 MED18
80493 7 AGR03
80494 89 MAT01
80495 35 MED18
80496 9 IINF05
80497 20 MED18
80498 64 INF01
80499 91 CHIM02
80500 55 MED18
80501 69 BIO10
80502 66 AGR03
80503 12 CHIM02
80504 47 INF01
80505 91 IINF04
80506 63 INGIND35
80507 37 IINF05
80508 29 INGIND35
80509 87 IINF05
80510 55 INF01
80511 91 MAT01
80512 66 IINF05
80513 63 FIS01
80514 97 MAT01
80515 49 BIO10
80516 21 FIS01
80517 16 MAT01
80518 49 FIS01
80519 34 BIO10
80520 27 MAT01
80521 26 IINF05
80522 17 IINF05
80523 69 IINF04
80524 78 INF01
80525 39 BIO10
80526 38 CHIM02
80527 96 CHIM02
80528 29 BIO10
80529 36 INF01
80530 49 MED18
80531 31 MED18
80532 62 MAT01
80533 67 BIO10
80534 87 INGIND35
80535 38 FIS01
80536 25 BIO10
80537 7 AGR03
80538 11 INF01
80539 92 BIO10
80540 83 AGR03
80541 42 MED18
80542 19 CHIM02
80543 85 CHIM02
80544 57 AGR03
80545 58 BIO10
80546 87 CHIM02
80547 19 BIO10
80548 48 CHIM02
80549 68 INGIND35
80550 44 BIO10
80551 3 INGIND35
80552 11 INF01
80553 62 CHIM02
80554 38 BIO10
80555 32 CHIM02
80556 51 INGIND35
80557 27 IINF05
80558 44 INF01
80559 32 MED18
80560 69 BIO10
80561 50 FIS01
80562 4 CHIM02
80563 31 AGR03
80564 94 CHIM02
80565 46 MAT01
80566 65 FIS01
80567 10 INF01
80568 82 FIS01
80569 17 IINF05
80570 50 FIS01
80571 29 INF01
80572 54 IINF04
80573 85 BIO10
80574 31 BIO10
80575 21 INGIND35
80576 41 IINF04
80577 33 IINF04
80578 89 MAT01
80579 29 MED18
80580 45 INGIND35
80581 45 IINF05
80582 35 FIS01
80583 92 FIS01
80584 83 INF01
80585 66 IINF04
80586 37 MAT01
80587 94 INF01
80588 99 FIS01
80589 26 MAT01
80590 20 MAT01
80591 8 IINF04
80592 48 INGIND35
80593 56 MED18
80594 17 INF01
80595 51 INF01
80596 75 IINF05
80597 73 IINF04
80598 77 MAT01
80599 24 CHIM02
80600 19 FIS01
80601 6 CHIM02
80602 32 IINF05
80603 68 MED18
80604 43 CHIM02
80605 18 CHIM02
80606 38 INGIND35
80607 90 FIS01
80608 68 IINF05
80609 80 IINF04
80610 97 BIO10
80611 83 AGR03
80612 84 INF01
80613 50 IINF04
80614 55 AGR03
80615 52 IINF04
80616 59 AGR03
80617 15 MAT01
80618 59 INF01
80619 37 BIO10
80620 93 INGIND35
80621 14 INGIND35
80622 54 CHIM02
80623 65 INF01
80624 80 INF01
80625 54 IINF05
80626 17 AGR03
80627 13 IINF04
80628 33 INGIND35
80629 48 FIS01
80630 76 BIO10
80631 6 INF01
80632 15 INGIND35
80633 80 BIO10
80634 50 CHIM02
80635 51 AGR03
80636 77 FIS01
80637 25 INGIND35
80638 74 CHIM02
80639 50 AGR03
80640 81 MED18
80641 18 IINF05
80642 3 IINF05
80643 98 IINF05
80644 91 IINF04
80645 92 INF01
80646 83 MAT01
80647 54 AGR03
80648 47 MAT01
80649 74 AGR03
80650 89 CHIM02
80651 35 AGR03
80652 33 INGIND35
80653 36 BIO10
80654 95 FIS01
80655 76 CHIM02
80656 66 IINF04
80657 59 MAT01
80658 60 MAT01
80659 16 INGIND35
80660 10 INF01
80661 63 MED18
80662 80 MAT01
80663 8 FIS01
80664 89 AGR03
80665 55 FIS01
80666 100 IINF05
80667 80 AGR03
80668 75 FIS01
80669 10 CHIM02
80670 17 IINF05
80671 34 INGIND35
80672 44 IINF04
80673 30 CHIM02
80674 26 IINF04
80675 91 FIS01
80676 70 FIS01
80677 24 INF01
80678 74 IINF04
80679 52 IINF04
80680 45 BIO10
80681 35 FIS01
80682 25 CHIM02
80683 69 BIO10
80684 8 INGIND35
80685 73 AGR03
80686 85 IINF04
80687 57 IINF05
80688 94 CHIM02
80689 88 AGR03
80690 27 BIO10
80691 72 IINF04
80692 20 BIO10
80693 88 FIS01
80694 60 CHIM02
80695 9 AGR03
80696 46 FIS01
80697 8 MAT01
80698 54 INF01
80699 30 MED18
80700 4 BIO10
80701 12 BIO10
80702 99 MED18
80703 21 FIS01
80704 2 INF01
80705 82 BIO10
