9678 MED18 4
37958 70 MAT01
37959 77 MAT01
37960 59 INGIND35
37961 36 IINF05
37962 96 IINF05
37963 20 MED18
37964 68 MAT01
37965 77 IINF05
37966 21 MED18
37967 20 INF01
37968 66 BIO10
37969 4 AGR03
37970 79 INGIND35
37971 98 INF01
37972 71 CHIM02
37973 92 FIS01
37974 2 BIO10
37975 19 IINF04
37976 8 BIO10
37977 11 AGR03
37978 17 MED18
37979 22 MAT01
37980 71 MAT01
37981 66 INGIND35
37982 45 INF01
37983 53 MED18
37984 40 MED18
37985 5 INF01
37986 20 INF01
37987 1 INF01
37988 70 MED18
37989 29 MAT01
37990 73 IINF05
37991 61 IINF04
37992 6 IINF05
37993 71 FIS01
37994 69 BIO10
37995 97 IINF04
37996 35 INF01
37997 93 AGR03
37998 53 IINF05
37999 55 BIO10
38000 41 MED18
38001 91 MED18
38002 72 CHIM02
38003 11 FIS01
38004 97 MAT01
38005 92 INF01
38006 3 INF01
38007 36 FIS01
38008 49 IINF04
38009 30 FIS01
38010 93 AGR03
38011 19 IINF04
38012 37 IINF04
38013 19 INF01
38014 44 MED18
38015 76 AGR03
38016 80 FIS01
38017 24 FIS01
38018 66 AGR03
38019 27 MAT01
38020 24 MAT01
38021 62 MAT01
38022 74 BIO10
38023 99 CHIM02
38024 30 CHIM02
38025 21 MAT01
38026 73 CHIM02
38027 20 BIO10
38028 53 MED18
38029 45 IINF05
38030 9 INGIND35
38031 80 MAT01
38032 8 IINF04
38033 90 IINF04
38034 47 FIS01
38035 38 IINF04
38036 54 CHIM02
38037 95 IINF05
38038 69 MAT01
38039 30 INGIND35
38040 15 AGR03
38041 78 INF01
38042 40 AGR03
38043 68 IINF04
38044 12 CHIM02
38045 51 IINF04
38046 52 INF01
38047 65 CHIM02
38048 29 IINF05
38049 83 IINF05
38050 36 BIO10
38051 3 IINF05
38052 88 CHIM02
38053 56 IINF05
38054 74 CHIM02
38055 7 AGR03
38056 74 MAT01
38057 99 INF01
38058 3 MED18
38059 58 CHIM02
38060 61 FIS01
38061 34 CHIM02
38062 90 IINF05
38063 53 INGIND35
38064 30 CHIM02
38065 85 INGIND35
38066 78 FIS01
38067 28 INF01
38068 27 BIO10
38069 39 AGR03
38070 18 FIS01
38071 42 IINF05
38072 25 FIS01
38073 6 INF01
38074 61 BIO10
38075 50 INGIND35
38076 11 FIS01
38077 77 INF01
38078 87 MAT01
38079 28 BIO10
38080 47 BIO10
38081 22 IINF04
38082 35 IINF04
38083 89 IINF05
38084 45 MED18
38085 26 CHIM02
38086 21 IINF04
38087 21 INF01
38088 64 IINF04
38089 96 INGIND35
38090 69 INGIND35
38091 9 CHIM02
38092 38 INF01
38093 89 IINF04
38094 78 AGR03
38095 30 MED18
38096 62 MAT01
38097 31 FIS01
38098 28 MAT01
38099 90 IINF04
38100 77 AGR03
38101 41 MAT01
38102 60 INGIND35
38103 58 BIO10
38104 42 INGIND35
38105 33 AGR03
38106 80 IINF05
38107 38 FIS01
38108 36 MED18
38109 88 IINF04
38110 34 AGR03
38111 48 INF01
38112 31 MAT01
38113 76 MAT01
38114 57 CHIM02
38115 47 MED18
38116 3 FIS01
38117 67 IINF05
38118 1 INGIND35
38119 36 BIO10
38120 85 FIS01
38121 94 AGR03
38122 61 INGIND35
38123 96 INF01
38124 77 BIO10
38125 15 INGIND35
38126 66 CHIM02
38127 65 IINF05
38128 11 IINF05
38129 73 CHIM02
38130 85 CHIM02
38131 33 BIO10
38132 15 FIS01
38133 20 IINF05
38134 30 IINF04
38135 99 INF01
38136 89 FIS01
38137 26 FIS01
38138 32 MED18
38139 60 INF01
38140 52 FIS01
38141 35 CHIM02
38142 72 BIO10
38143 8 CHIM02
38144 95 CHIM02
38145 76 BIO10
38146 25 AGR03
38147 27 MED18
38148 36 AGR03
38149 15 IINF05
38150 16 BIO10
38151 13 CHIM02
38152 18 INF01
38153 59 FIS01
38154 31 MED18
38155 87 MED18
38156 6 INGIND35
38157 9 MAT01
38158 14 AGR03
38159 23 MED18
38160 100 AGR03
38161 43 FIS01
38162 92 INGIND35
38163 80 AGR03
38164 98 INGIND35
38165 48 INGIND35
38166 93 FIS01
38167 20 INGIND35
38168 51 IINF04
38169 44 MED18
38170 46 INGIND35
38171 71 AGR03
38172 3 CHIM02
38173 34 INF01
38174 29 BIO10
38175 53 CHIM02
38176 65 BIO10
38177 47 BIO10
38178 75 IINF04
38179 48 AGR03
38180 33 BIO10
38181 49 MED18
38182 70 BIO10
38183 75 MAT01
38184 59 FIS01
38185 75 FIS01
38186 89 BIO10
38187 27 MAT01
38188 15 MED18
38189 10 IINF04
38190 51 BIO10
38191 6 MED18
38192 8 CHIM02
38193 88 INGIND35
38194 4 INGIND35
38195 25 AGR03
38196 39 INF01
38197 50 INGIND35
38198 42 CHIM02
38199 92 AGR03
38200 41 CHIM02
38201 57 INGIND35
38202 17 BIO10
38203 98 INGIND35
38204 19 MED18
38205 45 INGIND35
38206 12 CHIM02
38207 48 INF01
38208 88 IINF04
38209 57 INGIND35
38210 62 INF01
38211 65 MED18
38212 27 INGIND35
38213 67 INGIND35
38214 9 CHIM02
38215 74 FIS01
38216 33 MED18
38217 88 INF01
38218 45 INGIND35
38219 48 BIO10
38220 33 MED18
38221 7 AGR03
38222 12 INGIND35
38223 49 AGR03
38224 9 IINF04
38225 25 CHIM02
38226 71 MED18
38227 34 MED18
38228 25 FIS01
38229 77 AGR03
38230 45 IINF05
38231 22 FIS01
38232 15 AGR03
38233 74 MAT01
38234 78 MED18
38235 10 CHIM02
38236 19 BIO10
38237 57 MED18
38238 82 AGR03
38239 95 FIS01
38240 29 IINF05
38241 16 INF01
38242 95 AGR03
38243 52 INGIND35
38244 58 AGR03
38245 13 IINF05
38246 80 MAT01
38247 45 IINF05
38248 59 MAT01
38249 11 IINF05
38250 91 MAT01
38251 78 FIS01
38252 96 AGR03
38253 38 INF01
38254 16 CHIM02
38255 22 MED18
38256 70 AGR03
38257 47 AGR03
38258 85 FIS01
38259 80 MAT01
38260 41 CHIM02
38261 14 IINF05
38262 88 IINF04
38263 73 INF01
38264 82 INF01
38265 90 INF01
38266 79 MAT01
38267 97 MED18
38268 92 IINF05
38269 28 BIO10
38270 12 MAT01
38271 48 MED18
38272 72 MAT01
38273 95 FIS01
38274 44 FIS01
38275 50 MAT01
38276 50 IINF04
38277 79 MAT01
38278 56 MAT01
38279 45 MED18
38280 26 IINF04
38281 37 MED18
38282 57 IINF04
38283 6 IINF05
38284 86 INGIND35
38285 31 INGIND35
38286 62 INF01
38287 25 FIS01
38288 15 INGIND35
38289 70 IINF05
38290 7 MED18
38291 74 IINF04
38292 88 MED18
38293 11 AGR03
38294 92 MAT01
38295 22 IINF05
38296 91 FIS01
38297 42 FIS01
38298 9 INF01
38299 1 MAT01
38300 59 MAT01
38301 55 MED18
38302 56 INF01
38303 18 INF01
38304 22 AGR03
38305 55 INF01
38306 2 MAT01
38307 76 MAT01
38308 53 AGR03
38309 6 IINF05
38310 97 AGR03
38311 30 IINF04
38312 76 IINF04
38313 46 FIS01
38314 97 CHIM02
38315 57 INF01
38316 19 INGIND35
38317 45 IINF04
38318 71 BIO10
38319 35 INGIND35
38320 81 IINF04
38321 98 INGIND35
38322 44 MAT01
38323 36 INF01
38324 70 INGIND35
38325 14 IINF04
38326 5 IINF04
38327 68 IINF05
38328 28 FIS01
38329 7 BIO10
