8356 INF01 1
60882 73 FIS01
60883 50 AGR03
60884 100 IINF04
60885 32 MED18
60886 15 BIO10
60887 86 CHIM02
60888 94 MAT01
60889 32 INF01
60890 92 INF01
60891 56 IINF05
60892 41 MED18
60893 80 INF01
60894 89 FIS01
60895 38 INGIND35
60896 81 MED18
60897 7 INGIND35
60898 34 BIO10
60899 40 INGIND35
60900 21 FIS01
60901 5 IINF05
60902 27 MAT01
60903 62 MAT01
60904 73 IINF05
60905 22 IINF04
60906 57 AGR03
60907 25 BIO10
60908 32 CHIM02
60909 69 AGR03
60910 86 MAT01
60911 99 FIS01
60912 61 IINF04
60913 92 IINF04
60914 90 CHIM02
60915 47 INGIND35
60916 47 MAT01
60917 100 AGR03
60918 57 INF01
60919 53 MAT01
60920 43 AGR03
60921 91 BIO10
60922 17 MED18
60923 46 BIO10
60924 77 AGR03
60925 68 IINF05
60926 11 IINF04
60927 70 MED18
60928 94 IINF04
60929 37 CHIM02
60930 23 FIS01
60931 34 IINF04
60932 24 MED18
60933 55 INF01
60934 56 INF01
60935 100 CHIM02
60936 64 IINF04
60937 6 INGIND35
60938 85 MED18
60939 74 INF01
60940 52 AGR03
60941 35 MED18
60942 27 IINF04
60943 24 IINF05
60944 4 MED18
60945 65 IINF05
60946 23 FIS01
60947 11 FIS01
60948 35 AGR03
60949 76 MED18
60950 31 IINF05
60951 45 AGR03
60952 47 IINF04
60953 34 IINF04
60954 39 INF01
60955 73 AGR03
60956 36 MAT01
60957 35 MED18
60958 70 IINF04
60959 87 BIO10
60960 25 AGR03
60961 78 BIO10
60962 33 INGIND35
60963 79 FIS01
60964 73 CHIM02
60965 44 INGIND35
60966 25 MAT01
60967 49 INF01
60968 32 IINF04
60969 62 IINF04
60970 34 MAT01
60971 90 INF01
60972 43 AGR03
60973 59 AGR03
60974 21 BIO10
60975 32 IINF05
60976 27 INF01
60977 3 AGR03
60978 27 MED18
60979 52 MED18
60980 11 MAT01
60981 82 IINF04
60982 98 BIO10
60983 60 INGIND35
60984 47 FIS01
60985 26 INF01
60986 82 MED18
60987 40 CHIM02
60988 31 AGR03
60989 46 INGIND35
60990 54 IINF05
60991 19 INGIND35
60992 70 MED18
60993 32 MED18
60994 1 IINF04
60995 79 MAT01
60996 62 IINF05
60997 96 INF01
60998 95 MAT01
60999 4 IINF04
61000 29 IINF04
