2000 IINF05 30
13818 25 INF01
13819 33 MED18
13820 8 INGIND35
13821 85 FIS01
13822 3 AGR03
13823 37 INF01
13824 90 IINF04
13825 53 CHIM02
13826 30 FIS01
13827 27 AGR03
13828 43 FIS01
13829 66 IINF04
13830 16 IINF05
13831 89 IINF05
13832 22 INF01
13833 91 MED18
13834 32 INGIND35
13835 83 AGR03
13836 99 MED18
13837 63 INGIND35
13838 58 INF01
13839 68 MED18
13840 92 IINF05
13841 52 IINF05
13842 92 MAT01
13843 40 IINF04
13844 83 AGR03
13845 36 IINF04
13846 10 MED18
13847 95 AGR03
13848 7 FIS01
13849 80 BIO10
13850 77 MED18
13851 86 BIO10
13852 18 MAT01
13853 43 CHIM02
13854 32 FIS01
13855 37 FIS01
13856 74 MAT01
13857 17 CHIM02
13858 76 CHIM02
13859 35 AGR03
13860 23 IINF04
13861 73 BIO10
13862 26 IINF04
13863 63 AGR03
13864 49 INGIND35
13865 57 BIO10
13866 30 CHIM02
13867 97 INGIND35
13868 38 IINF04
13869 14 MAT01
13870 97 FIS01
13871 58 INF01
13872 85 FIS01
13873 25 IINF05
13874 13 CHIM02
13875 96 CHIM02
13876 83 CHIM02
13877 8 MED18
13878 43 MED18
13879 3 FIS01
13880 11 INF01
13881 77 FIS01
13882 67 IINF04
13883 77 INGIND35
13884 74 MED18
13885 51 INF01
13886 53 INF01
13887 59 BIO10
13888 28 IINF04
13889 75 INGIND35
13890 58 MED18
13891 11 IINF05
13892 99 FIS01
13893 5 INGIND35
13894 3 IINF05
13895 76 INGIND35
13896 27 INF01
13897 36 BIO10
13898 77 CHIM02
13899 67 IINF05
13900 95 IINF04
13901 85 AGR03
13902 26 CHIM02
13903 70 AGR03
13904 65 INGIND35
13905 86 MED18
13906 100 CHIM02
13907 74 INF01
13908 57 FIS01
13909 60 FIS01
13910 57 INF01
13911 4 INGIND35
13912 91 INGIND35
13913 63 CHIM02
13914 69 MED18
13915 59 IINF05
13916 9 IINF04
13917 80 CHIM02
13918 18 INF01
13919 34 AGR03
13920 64 AGR03
13921 28 IINF04
13922 55 BIO10
13923 45 FIS01
13924 12 FIS01
13925 28 BIO10
13926 61 INGIND35
13927 41 MED18
13928 18 IINF04
13929 6 MAT01
13930 5 MED18
13931 76 BIO10
13932 46 AGR03
13933 79 IINF04
13934 40 IINF05
13935 93 INF01
13936 11 MED18
13937 79 IINF04
13938 46 AGR03
13939 28 MAT01
13940 74 FIS01
13941 54 CHIM02
13942 11 CHIM02
13943 16 BIO10
13944 88 FIS01
13945 7 MAT01
13946 79 INGIND35
13947 71 INF01
13948 66 MAT01
13949 25 CHIM02
13950 98 INGIND35
13951 74 FIS01
13952 81 INF01
13953 40 MAT01
13954 73 INGIND35
13955 84 IINF05
13956 85 MED18
13957 73 MAT01
13958 47 BIO10
13959 44 BIO10
13960 81 AGR03
13961 89 AGR03
13962 27 INGIND35
13963 78 MED18
13964 32 MED18
13965 83 BIO10
13966 60 CHIM02
13967 98 FIS01
13968 4 AGR03
13969 20 IINF05
13970 63 IINF04
13971 12 MAT01
13972 81 CHIM02
13973 26 FIS01
13974 85 INF01
13975 19 INF01
13976 21 IINF04
13977 34 MED18
13978 57 MED18
13979 24 CHIM02
13980 10 INGIND35
13981 50 MED18
13982 68 INGIND35
13983 63 INGIND35
13984 49 AGR03
13985 82 INGIND35
13986 8 FIS01
13987 65 FIS01
13988 44 AGR03
13989 55 AGR03
13990 86 IINF05
13991 52 MAT01
13992 96 INGIND35
13993 63 INGIND35
13994 94 BIO10
13995 16 CHIM02
13996 13 INF01
13997 52 FIS01
13998 10 FIS01
13999 56 MAT01
14000 8 INGIND35
14001 94 INGIND35
14002 44 IINF04
14003 63 IINF04
14004 95 IINF04
14005 72 INF01
14006 78 INGIND35
14007 41 MAT01
14008 66 IINF04
14009 77 BIO10
14010 55 INGIND35
14011 12 IINF05
14012 10 FIS01
14013 43 IINF04
14014 81 MED18
14015 80 INGIND35
14016 17 MAT01
14017 96 CHIM02
14018 68 AGR03
14019 30 CHIM02
14020 4 AGR03
14021 4 FIS01
14022 3 INGIND35
14023 49 CHIM02
14024 92 AGR03
14025 23 IINF04
14026 64 MED18
14027 61 BIO10
14028 9 INF01
14029 59 CHIM02
14030 24 IINF05
14031 71 AGR03
14032 28 IINF04
14033 3 BIO10
14034 83 INF01
14035 41 IINF05
14036 65 MAT01
14037 73 MED18
14038 15 INGIND35
14039 54 FIS01
14040 83 AGR03
14041 100 INF01
14042 88 IINF04
14043 42 MAT01
14044 52 BIO10
14045 43 MED18
14046 12 INGIND35
14047 42 AGR03
14048 87 IINF05
14049 89 CHIM02
14050 44 INGIND35
14051 96 INGIND35
14052 55 INGIND35
14053 5 CHIM02
14054 72 MAT01
14055 72 AGR03
14056 75 IINF04
14057 7 INGIND35
14058 60 INGIND35
