6100 IINF05 6
19979 56 INF01
19980 3 IINF04
19981 42 INGIND35
19982 99 MAT01
19983 28 CHIM02
19984 64 INF01
19985 71 AGR03
19986 35 FIS01
19987 67 MAT01
19988 99 IINF05
19989 58 CHIM02
19990 51 BIO10
19991 67 IINF05
19992 19 BIO10
19993 29 IINF04
19994 69 AGR03
19995 21 MAT01
19996 79 MED18
19997 78 CHIM02
19998 44 CHIM02
19999 9 CHIM02
20000 3 MAT01
20001 45 BIO10
20002 5 CHIM02
20003 52 CHIM02
20004 12 MED18
20005 40 BIO10
20006 15 INGIND35
20007 51 AGR03
20008 68 INGIND35
20009 84 IINF05
20010 73 MAT01
20011 76 IINF04
20012 37 INGIND35
20013 99 INGIND35
20014 93 MAT01
20015 60 IINF04
20016 92 CHIM02
20017 16 IINF04
20018 7 IINF05
20019 19 AGR03
20020 52 IINF04
20021 37 BIO10
20022 72 IINF05
20023 12 MED18
20024 67 CHIM02
20025 58 INF01
20026 16 MAT01
20027 25 IINF05
20028 38 INGIND35
20029 11 IINF05
20030 48 INF01
20031 59 MAT01
20032 27 IINF05
20033 99 IINF05
20034 100 MAT01
20035 44 INGIND35
20036 68 INGIND35
20037 13 IINF05
20038 27 CHIM02
20039 28 IINF04
20040 86 IINF04
20041 49 FIS01
20042 13 IINF04
20043 58 BIO10
20044 29 INGIND35
20045 50 MED18
20046 89 AGR03
20047 33 MED18
20048 45 IINF05
20049 27 INF01
20050 88 AGR03
20051 60 IINF04
20052 49 IINF04
20053 81 INF01
20054 11 IINF05
20055 6 IINF05
20056 55 INF01
20057 63 FIS01
20058 6 IINF05
20059 36 FIS01
20060 4 FIS01
20061 99 INGIND35
20062 15 INGIND35
20063 70 IINF05
20064 71 MAT01
20065 58 IINF04
20066 42 INGIND35
20067 16 AGR03
20068 26 AGR03
20069 58 IINF05
20070 96 FIS01
20071 100 BIO10
20072 7 IINF04
20073 26 AGR03
20074 92 AGR03
20075 73 AGR03
20076 12 AGR03
20077 90 INF01
20078 12 INF01
20079 62 IINF05
20080 99 IINF04
20081 32 BIO10
20082 73 CHIM02
20083 36 BIO10
20084 76 IINF05
20085 57 FIS01
20086 92 INF01
20087 91 IINF05
20088 35 INGIND35
20089 11 IINF05
20090 18 MED18
20091 77 IINF04
20092 5 INGIND35
20093 92 IINF04
20094 59 MED18
20095 17 INF01
20096 78 AGR03
20097 70 MAT01
20098 33 IINF04
20099 95 MED18
20100 69 CHIM02
20101 1 FIS01
20102 67 AGR03
20103 6 BIO10
20104 97 IINF05
20105 36 AGR03
20106 48 CHIM02
20107 63 FIS01
20108 16 AGR03
20109 19 BIO10
20110 93 INF01
20111 19 IINF04
20112 84 CHIM02
20113 14 CHIM02
20114 99 CHIM02
20115 8 INF01
20116 60 CHIM02
20117 13 FIS01
20118 44 AGR03
20119 80 IINF05
20120 61 AGR03
20121 1 BIO10
20122 32 AGR03
20123 24 MAT01
20124 62 MAT01
20125 75 FIS01
20126 52 MED18
20127 38 INF01
20128 28 INGIND35
20129 59 INF01
20130 45 INGIND35
20131 64 AGR03
20132 30 INF01
20133 54 FIS01
20134 90 AGR03
20135 58 INGIND35
20136 80 INGIND35
20137 32 IINF05
20138 20 MAT01
20139 30 INF01
20140 37 INF01
20141 1 IINF04
20142 41 CHIM02
20143 2 MED18
20144 4 IINF04
20145 58 INGIND35
20146 62 AGR03
20147 67 CHIM02
20148 91 IINF04
20149 14 IINF04
20150 88 BIO10
20151 83 MAT01
20152 25 CHIM02
20153 97 MED18
20154 61 IINF04
20155 45 INF01
20156 61 FIS01
20157 44 MAT01
20158 83 AGR03
20159 65 AGR03
20160 83 INGIND35
20161 85 MED18
20162 50 FIS01
20163 4 FIS01
20164 76 FIS01
20165 17 BIO10
20166 27 CHIM02
20167 4 INGIND35
20168 86 INF01
20169 28 INF01
20170 42 MAT01
20171 99 BIO10
20172 65 FIS01
20173 25 MED18
20174 25 BIO10
20175 11 INF01
20176 53 MED18
20177 23 FIS01
20178 39 BIO10
20179 70 AGR03
20180 87 IINF04
20181 91 FIS01
20182 84 MED18
20183 39 BIO10
20184 90 IINF04
20185 14 MAT01
20186 89 IINF05
20187 54 INF01
20188 93 CHIM02
20189 57 AGR03
20190 18 IINF04
20191 82 INF01
20192 35 INGIND35
20193 42 IINF05
20194 63 AGR03
20195 98 INGIND35
20196 77 BIO10
20197 75 IINF05
20198 29 BIO10
20199 96 MED18
20200 94 INF01
20201 72 BIO10
20202 75 MED18
20203 89 IINF04
20204 28 IINF04
20205 36 BIO10
20206 74 INF01
20207 71 INF01
20208 7 IINF05
20209 19 MAT01
20210 11 MAT01
20211 8 IINF04
20212 52 IINF05
20213 58 CHIM02
20214 31 INF01
20215 23 MED18
20216 9 INGIND35
20217 59 AGR03
20218 11 MED18
20219 55 MED18
20220 46 INGIND35
20221 100 FIS01
20222 42 CHIM02
20223 63 IINF04
20224 88 IINF04
20225 63 IINF04
20226 68 IINF05
20227 58 INGIND35
20228 74 AGR03
20229 58 AGR03
20230 20 AGR03
20231 79 IINF04
20232 42 FIS01
20233 1 IINF04
20234 62 BIO10
20235 71 BIO10
20236 23 MED18
20237 82 BIO10
20238 66 INF01
20239 1 IINF05
20240 34 IINF04
20241 75 FIS01
20242 19 BIO10
20243 20 MED18
20244 64 IINF05
20245 67 IINF04
20246 17 MAT01
20247 55 FIS01
20248 43 AGR03
20249 31 INF01
20250 81 INF01
20251 77 BIO10
20252 68 FIS01
20253 100 IINF05
20254 67 INGIND35
20255 26 INF01
20256 59 CHIM02
20257 59 IINF05
20258 20 IINF05
20259 45 FIS01
20260 19 MED18
20261 20 BIO10
20262 49 MAT01
20263 1 MAT01
20264 42 CHIM02
20265 83 IINF04
20266 17 BIO10
20267 94 INGIND35
20268 82 INF01
20269 67 INGIND35
20270 76 IINF05
20271 10 BIO10
20272 75 IINF05
20273 81 BIO10
20274 83 IINF04
20275 49 AGR03
20276 15 BIO10
20277 70 CHIM02
20278 19 BIO10
20279 75 BIO10
20280 16 BIO10
20281 99 MED18
20282 84 INF01
20283 39 AGR03
20284 29 INF01
20285 13 INGIND35
20286 62 IINF04
20287 92 CHIM02
20288 30 IINF04
20289 22 IINF04
20290 68 AGR03
20291 95 CHIM02
20292 48 INGIND35
20293 53 MED18
20294 56 FIS01
20295 92 CHIM02
20296 19 FIS01
20297 31 IINF04
20298 65 MAT01
20299 32 MAT01
20300 50 MAT01
20301 89 MAT01
20302 34 MAT01
20303 14 BIO10
20304 18 FIS01
20305 46 INGIND35
20306 75 FIS01
20307 42 IINF05
