5877 INF01 7
85301 1 MED18
85302 75 AGR03
85303 27 MAT01
85304 1 AGR03
85305 66 IINF05
85306 10 INGIND35
85307 7 MAT01
85308 66 IINF04
85309 91 MED18
85310 36 MED18
85311 39 FIS01
85312 99 IINF05
85313 87 INF01
85314 37 MED18
85315 88 BIO10
85316 10 IINF05
85317 43 IINF05
85318 31 MED18
85319 30 AGR03
85320 4 BIO10
85321 91 MED18
85322 19 MED18
85323 36 IINF04
85324 9 INF01
85325 12 BIO10
85326 92 CHIM02
85327 29 CHIM02
85328 47 FIS01
85329 19 MAT01
85330 20 IINF04
85331 98 CHIM02
85332 91 CHIM02
85333 1 CHIM02
85334 32 IINF04
85335 94 IINF05
85336 53 BIO10
85337 2 FIS01
85338 45 INGIND35
85339 38 MAT01
85340 17 INF01
85341 38 CHIM02
85342 24 INGIND35
85343 73 INGIND35
85344 24 BIO10
85345 87 MAT01
85346 95 MED18
85347 59 BIO10
85348 5 MED18
85349 63 INGIND35
85350 99 IINF04
85351 51 BIO10
85352 71 BIO10
85353 41 BIO10
85354 11 MED18
85355 72 BIO10
85356 80 IINF05
85357 35 IINF04
85358 46 IINF04
85359 5 MAT01
85360 98 INGIND35
85361 80 AGR03
85362 28 AGR03
85363 26 IINF04
85364 40 INGIND35
85365 73 IINF05
85366 94 INF01
85367 71 CHIM02
85368 99 FIS01
85369 2 FIS01
85370 15 AGR03
85371 77 MAT01
85372 85 MAT01
85373 41 IINF04
85374 31 IINF04
85375 43 IINF04
85376 11 BIO10
85377 25 MAT01
85378 27 MED18
85379 21 AGR03
85380 92 AGR03
85381 64 INGIND35
85382 80 BIO10
85383 36 MED18
85384 46 AGR03
85385 79 IINF04
85386 41 MED18
85387 83 INGIND35
85388 31 IINF04
85389 17 CHIM02
85390 94 IINF04
85391 9 AGR03
85392 57 IINF04
85393 15 CHIM02
85394 6 MED18
85395 44 IINF04
85396 31 INGIND35
85397 40 INF01
85398 28 IINF04
85399 83 BIO10
85400 70 MAT01
85401 8 INF01
85402 44 IINF04
85403 75 IINF05
85404 11 IINF04
85405 98 CHIM02
85406 38 INGIND35
85407 14 FIS01
85408 18 CHIM02
85409 13 INGIND35
85410 82 BIO10
85411 74 MED18
85412 15 BIO10
85413 19 INF01
85414 96 IINF05
85415 96 INGIND35
85416 22 IINF05
85417 98 AGR03
85418 90 CHIM02
85419 29 IINF05
85420 20 CHIM02
85421 48 INGIND35
85422 43 FIS01
85423 47 IINF04
85424 64 IINF05
85425 41 IINF04
85426 47 AGR03
85427 52 MED18
85428 19 AGR03
85429 64 INF01
85430 59 AGR03
85431 95 IINF05
85432 42 INGIND35
85433 12 INF01
85434 8 MAT01
85435 99 INGIND35
85436 49 FIS01
85437 56 INGIND35
85438 86 FIS01
85439 90 INF01
85440 67 IINF05
85441 39 MED18
85442 87 INGIND35
85443 8 AGR03
85444 97 CHIM02
85445 62 FIS01
85446 37 INGIND35
85447 83 MAT01
85448 20 MAT01
85449 56 BIO10
85450 73 CHIM02
85451 5 IINF04
85452 49 MED18
85453 25 MAT01
85454 27 MED18
85455 61 MAT01
85456 76 BIO10
85457 32 INF01
85458 51 INF01
85459 18 MED18
85460 75 FIS01
85461 29 BIO10
85462 61 INF01
85463 26 CHIM02
85464 3 INF01
85465 36 IINF05
85466 86 BIO10
85467 25 BIO10
85468 4 CHIM02
85469 38 MED18
85470 48 IINF05
85471 53 IINF05
85472 15 INF01
85473 100 MED18
85474 71 INF01
85475 22 IINF05
85476 19 AGR03
85477 96 INF01
85478 65 INGIND35
85479 14 AGR03
85480 63 INF01
85481 44 CHIM02
85482 37 IINF05
85483 3 AGR03
85484 64 MAT01
85485 14 INF01
85486 68 MED18
85487 75 CHIM02
85488 23 IINF05
85489 73 MED18
85490 25 INGIND35
85491 79 AGR03
85492 27 CHIM02
85493 83 BIO10
85494 68 AGR03
85495 94 IINF05
85496 30 FIS01
85497 61 FIS01
85498 93 IINF05
85499 41 INGIND35
85500 44 FIS01
85501 70 BIO10
85502 100 IINF04
85503 37 MED18
85504 3 CHIM02
85505 31 INF01
85506 82 FIS01
85507 6 CHIM02
85508 87 INF01
85509 76 MAT01
85510 94 CHIM02
85511 16 INGIND35
85512 79 MED18
85513 20 AGR03
85514 85 FIS01
85515 28 AGR03
85516 76 AGR03
85517 93 BIO10
85518 67 CHIM02
85519 33 AGR03
85520 81 FIS01
85521 1 CHIM02
85522 87 AGR03
85523 12 IINF05
85524 45 CHIM02
85525 77 INGIND35
85526 31 AGR03
85527 15 MED18
85528 31 CHIM02
85529 1 AGR03
85530 36 INGIND35
85531 86 INGIND35
85532 35 IINF04
85533 63 CHIM02
85534 32 INF01
85535 49 INF01
85536 40 FIS01
85537 16 IINF04
85538 95 CHIM02
85539 60 BIO10
85540 81 INF01
85541 96 AGR03
85542 82 INGIND35
85543 43 MED18
85544 100 CHIM02
85545 52 INGIND35
85546 51 CHIM02
85547 55 IINF05
85548 37 MED18
85549 44 IINF05
85550 54 BIO10
85551 99 INGIND35
85552 63 IINF04
85553 69 AGR03
85554 63 BIO10
85555 59 IINF04
85556 43 IINF05
85557 92 MED18
85558 63 INGIND35
85559 93 IINF05
85560 13 MED18
85561 47 MED18
85562 27 IINF04
85563 100 INF01
85564 38 IINF05
85565 70 INF01
85566 55 INF01
85567 93 INGIND35
85568 20 BIO10
85569 86 MAT01
85570 98 BIO10
85571 34 MAT01
85572 68 IINF05
85573 71 MED18
85574 26 MAT01
85575 48 AGR03
85576 36 IINF04
85577 73 INGIND35
85578 97 AGR03
85579 93 INGIND35
85580 30 AGR03
85581 53 MAT01
85582 90 INF01
85583 42 BIO10
85584 27 AGR03
85585 93 MED18
85586 27 FIS01
85587 36 INF01
85588 5 MAT01
85589 63 MAT01
85590 52 IINF05
85591 54 IINF04
85592 55 AGR03
85593 89 INF01
85594 100 FIS01
85595 24 FIS01
85596 46 MAT01
85597 43 MAT01
85598 59 IINF05
85599 82 INGIND35
85600 64 MAT01
85601 78 IINF05
85602 69 INGIND35
85603 28 CHIM02
85604 76 MAT01
85605 8 BIO10
85606 45 AGR03
85607 97 AGR03
85608 94 MED18
85609 55 IINF04
85610 70 FIS01
85611 26 MED18
85612 20 IINF05
85613 28 INGIND35
85614 63 MED18
85615 73 IINF05
85616 88 MED18
85617 2 BIO10
85618 62 INGIND35
85619 12 INGIND35
85620 26 MAT01
85621 31 CHIM02
85622 97 MAT01
85623 19 AGR03
85624 5 FIS01
85625 27 BIO10
85626 93 FIS01
85627 68 INGIND35
85628 25 MED18
85629 50 INGIND35
85630 60 IINF04
85631 41 MED18
85632 40 FIS01
85633 33 AGR03
85634 60 AGR03
85635 26 BIO10
85636 46 FIS01
85637 87 MAT01
85638 89 BIO10
85639 15 MAT01
85640 9 FIS01
85641 10 INF01
85642 23 IINF04
85643 25 BIO10
85644 18 IINF04
85645 100 BIO10
85646 23 BIO10
85647 27 BIO10
85648 80 IINF05
85649 53 INF01
85650 61 CHIM02
85651 84 IINF05
85652 44 BIO10
85653 51 IINF04
85654 97 IINF05
85655 98 IINF05
85656 21 MED18
85657 6 AGR03
85658 28 FIS01
85659 68 FIS01
85660 86 BIO10
85661 16 INGIND35
85662 15 MED18
85663 35 CHIM02
85664 34 IINF04
85665 18 BIO10
85666 68 FIS01
85667 10 INGIND35
85668 9 INF01
85669 19 IINF04
85670 46 CHIM02
85671 96 MAT01
85672 70 INF01
85673 25 INF01
85674 18 INGIND35
85675 25 MED18
85676 78 MAT01
85677 31 MED18
85678 53 MED18
85679 1 CHIM02
85680 52 BIO10
85681 10 FIS01
85682 44 MED18
85683 51 AGR03
85684 38 INF01
85685 52 IINF04
85686 36 AGR03
85687 44 MAT01
85688 62 MED18
85689 5 IINF05
85690 40 MAT01
85691 90 FIS01
85692 62 MAT01
85693 36 BIO10
85694 20 BIO10
85695 94 INF01
85696 78 AGR03
85697 61 IINF04
85698 98 IINF04
85699 85 MED18
85700 2 FIS01
85701 73 INGIND35
85702 24 BIO10
85703 7 MED18
85704 47 FIS01
85705 100 BIO10
85706 1 CHIM02
85707 48 FIS01
85708 61 IINF05
85709 65 INF01
85710 53 FIS01
85711 40 BIO10
85712 63 MAT01
85713 25 BIO10
85714 71 CHIM02
85715 36 IINF04
85716 5 IINF05
85717 82 IINF04
85718 61 MAT01
85719 21 MED18
85720 79 MED18
85721 76 INGIND35
85722 80 INGIND35
85723 55 MAT01
85724 19 CHIM02
85725 51 MAT01
85726 37 IINF04
85727 83 MED18
85728 42 IINF05
85729 63 AGR03
85730 65 IINF05
85731 73 MAT01
85732 6 IINF05
85733 52 CHIM02
85734 31 IINF04
85735 63 AGR03
85736 57 MED18
85737 92 MED18
85738 87 FIS01
85739 23 CHIM02
85740 19 BIO10
85741 91 IINF05
85742 20 MAT01
85743 49 MAT01
85744 54 BIO10
85745 54 IINF05
85746 58 MAT01
85747 89 CHIM02
85748 21 MED18
85749 12 MED18
85750 37 INF01
85751 78 INGIND35
85752 73 AGR03
85753 50 BIO10
85754 99 FIS01
85755 50 MAT01
85756 67 IINF04
85757 39 INF01
85758 34 BIO10
85759 14 INGIND35
85760 95 INGIND35
85761 26 IINF04
85762 9 INF01
85763 91 AGR03
85764 15 AGR03
85765 98 IINF04
85766 98 AGR03
85767 18 CHIM02
85768 100 AGR03
85769 98 BIO10
85770 10 IINF04
85771 12 FIS01
85772 31 IINF04
85773 34 INGIND35
85774 35 IINF04
85775 43 AGR03
85776 63 FIS01
85777 45 FIS01
85778 96 INF01
85779 86 BIO10
85780 34 INF01
85781 75 FIS01
85782 60 INF01
85783 38 CHIM02
85784 16 IINF04
85785 82 CHIM02
85786 24 CHIM02
85787 17 BIO10
85788 34 FIS01
85789 64 AGR03
85790 29 AGR03
85791 25 INGIND35
85792 16 MED18
85793 34 FIS01
85794 40 CHIM02
85795 27 BIO10
85796 95 MED18
85797 28 IINF04
85798 70 INGIND35
85799 52 MAT01
85800 94 INGIND35
85801 51 INGIND35
85802 60 IINF04
85803 14 AGR03
85804 14 CHIM02
85805 60 INGIND35
85806 62 INF01
85807 43 IINF05
85808 64 INGIND35
85809 84 IINF04
85810 73 IINF05
85811 76 FIS01
85812 7 CHIM02
85813 51 INGIND35
85814 38 CHIM02
85815 87 IINF05
85816 71 CHIM02
85817 28 IINF05
85818 8 AGR03
85819 62 CHIM02
85820 42 BIO10
85821 56 AGR03
85822 12 AGR03
85823 40 BIO10
85824 21 IINF04
85825 28 MED18
85826 24 IINF04
85827 1 CHIM02
85828 99 AGR03
85829 50 AGR03
85830 71 INF01
85831 19 MED18
85832 29 AGR03
85833 98 MAT01
85834 2 INF01
85835 7 IINF04
85836 66 MAT01
85837 78 AGR03
85838 95 FIS01
85839 33 AGR03
85840 97 FIS01
85841 66 CHIM02
85842 28 IINF04
85843 11 MAT01
85844 27 BIO10
85845 76 INF01
85846 62 CHIM02
85847 54 IINF05
85848 29 MED18
85849 100 BIO10
85850 96 FIS01
85851 76 AGR03
85852 25 IINF05
85853 1 CHIM02
85854 37 IINF05
85855 77 FIS01
85856 64 CHIM02
85857 97 MED18
85858 93 INGIND35
85859 40 MAT01
85860 86 MED18
85861 2 FIS01
85862 55 FIS01
85863 73 MAT01
85864 98 INF01
85865 73 BIO10
85866 87 MAT01
85867 3 FIS01
85868 66 MAT01
85869 43 AGR03
85870 13 INF01
85871 60 IINF05
85872 24 IINF04
85873 80 BIO10
85874 28 MED18
85875 69 IINF05
85876 6 FIS01
85877 53 INGIND35
85878 53 BIO10
85879 28 MED18
85880 44 INF01
85881 11 INF01
85882 48 IINF05
85883 32 IINF04
85884 88 IINF05
85885 38 MED18
85886 81 MED18
85887 42 IINF05
85888 51 AGR03
85889 34 MED18
85890 18 INGIND35
85891 36 BIO10
85892 51 IINF04
85893 76 INGIND35
85894 99 BIO10
85895 46 MAT01
85896 41 MAT01
85897 19 INGIND35
85898 12 BIO10
85899 84 CHIM02
85900 2 AGR03
85901 11 INGIND35
85902 86 INGIND35
85903 41 AGR03
85904 12 MED18
85905 16 AGR03
85906 6 FIS01
85907 94 FIS01
85908 46 CHIM02
85909 98 BIO10
85910 85 MAT01
85911 6 IINF05
85912 12 MED18
85913 46 AGR03
85914 38 AGR03
85915 82 MAT01
85916 54 AGR03
85917 88 INF01
85918 60 CHIM02
85919 56 MAT01
85920 94 IINF04
85921 91 MAT01
85922 28 MED18
85923 51 IINF05
85924 70 BIO10
85925 44 FIS01
85926 90 FIS01
85927 96 FIS01
85928 60 FIS01
85929 31 MAT01
85930 49 INGIND35
85931 22 IINF05
85932 41 IINF04
85933 41 INF01
85934 65 MAT01
85935 2 AGR03
85936 41 INF01
85937 71 BIO10
85938 21 INGIND35
85939 76 IINF05
85940 64 MAT01
85941 82 AGR03
85942 11 IINF05
85943 69 FIS01
85944 24 INF01
85945 54 INF01
85946 10 IINF05
85947 36 IINF05
85948 95 BIO10
85949 97 IINF04
85950 77 MAT01
85951 8 CHIM02
